scenario,year,material,crc,demand_allocated,demand_mean_total,share_pct
Mid_Case,2026,Aluminum,OECD,0.0,0.0,23.0
Mid_Case,2026,Aluminum,1,0.0,0.0,0.0
Mid_Case,2026,Aluminum,2,0.0,0.0,4.140000000000001
Mid_Case,2026,Aluminum,3,0.0,0.0,0.0
Mid_Case,2026,Aluminum,4,0.0,0.0,0.0
Mid_Case,2026,Aluminum,5,0.0,0.0,0.0
Mid_Case,2026,Aluminum,6,0.0,0.0,0.0
Mid_Case,2026,Aluminum,7,0.0,0.0,2.3000000000000003
Mid_Case,2026,Aluminum,China,0.0,0.0,1.84
Mid_Case,2026,Aluminum,Undefined,0.0,0.0,14.72
Mid_Case,2026,Aluminum,United States,0.0,0.0,54.0
Mid_Case,2026,Boron,OECD,0.0,0.0,0.0
Mid_Case,2026,Boron,1,0.0,0.0,0.0
Mid_Case,2026,Boron,2,0.0,0.0,0.0
Mid_Case,2026,Boron,3,0.0,0.0,0.0
Mid_Case,2026,Boron,4,0.0,0.0,0.0
Mid_Case,2026,Boron,5,0.0,0.0,0.0
Mid_Case,2026,Boron,6,0.0,0.0,0.0
Mid_Case,2026,Boron,7,0.0,0.0,0.0
Mid_Case,2026,Boron,China,0.0,0.0,0.0
Mid_Case,2026,Boron,Undefined,0.0,0.0,0.0
Mid_Case,2026,Boron,United States,0.0,0.0,100.0
Mid_Case,2026,Cement,OECD,0.0,0.0,6.806
Mid_Case,2026,Cement,1,0.0,0.0,0.0
Mid_Case,2026,Cement,2,0.0,0.0,0.0
Mid_Case,2026,Cement,3,0.0,0.0,1.328
Mid_Case,2026,Cement,4,0.0,0.0,0.0
Mid_Case,2026,Cement,5,0.0,0.0,4.316
Mid_Case,2026,Cement,6,0.0,0.0,0.0
Mid_Case,2026,Cement,7,0.0,0.0,0.0
Mid_Case,2026,Cement,China,0.0,0.0,0.0
Mid_Case,2026,Cement,Undefined,0.0,0.0,4.15
Mid_Case,2026,Cement,United States,0.0,0.0,83.4
Mid_Case,2026,Chromium,OECD,0.0,0.0,4.644
Mid_Case,2026,Chromium,1,0.0,0.0,0.0
Mid_Case,2026,Chromium,2,0.0,0.0,0.0
Mid_Case,2026,Chromium,3,0.0,0.0,0.0
Mid_Case,2026,Chromium,4,0.0,0.0,28.638
Mid_Case,2026,Chromium,5,0.0,0.0,7.74
Mid_Case,2026,Chromium,6,0.0,0.0,0.0
Mid_Case,2026,Chromium,7,0.0,0.0,5.418
Mid_Case,2026,Chromium,China,0.0,0.0,0.0
Mid_Case,2026,Chromium,Undefined,0.0,0.0,30.96
Mid_Case,2026,Chromium,United States,0.0,0.0,22.599999999999994
Mid_Case,2026,Copper,OECD,0.0,0.0,32.424
Mid_Case,2026,Copper,1,0.0,0.0,0.0
Mid_Case,2026,Copper,2,0.0,0.0,0.0
Mid_Case,2026,Copper,3,0.0,0.0,4.246
Mid_Case,2026,Copper,4,0.0,0.0,0.0
Mid_Case,2026,Copper,5,0.0,0.0,0.0
Mid_Case,2026,Copper,6,0.0,0.0,0.0
Mid_Case,2026,Copper,7,0.0,0.0,0.0
Mid_Case,2026,Copper,China,0.0,0.0,0.0
Mid_Case,2026,Copper,Undefined,0.0,0.0,1.9300000000000002
Mid_Case,2026,Copper,United States,0.0,0.0,61.4
Mid_Case,2026,Lead,OECD,0.0,0.0,18.703999999999997
Mid_Case,2026,Lead,1,0.0,0.0,0.0
Mid_Case,2026,Lead,2,0.0,0.0,0.0
Mid_Case,2026,Lead,3,0.0,0.0,6.012
Mid_Case,2026,Lead,4,0.0,0.0,0.0
Mid_Case,2026,Lead,5,0.0,0.0,0.0
Mid_Case,2026,Lead,6,0.0,0.0,0.0
Mid_Case,2026,Lead,7,0.0,0.0,0.0
Mid_Case,2026,Lead,China,0.0,0.0,0.0
Mid_Case,2026,Lead,Undefined,0.0,0.0,8.684
Mid_Case,2026,Lead,United States,0.0,0.0,66.6
Mid_Case,2026,Magnesium,OECD,0.0,0.0,9.6
Mid_Case,2026,Magnesium,1,0.0,0.0,0.0
Mid_Case,2026,Magnesium,2,0.0,0.0,2.6999999999999997
Mid_Case,2026,Magnesium,3,0.0,0.0,3.0
Mid_Case,2026,Magnesium,4,0.0,0.0,0.0
Mid_Case,2026,Magnesium,5,0.0,0.0,0.0
Mid_Case,2026,Magnesium,6,0.0,0.0,0.0
Mid_Case,2026,Magnesium,7,0.0,0.0,0.0
Mid_Case,2026,Magnesium,China,0.0,0.0,0.0
Mid_Case,2026,Magnesium,Undefined,0.0,0.0,14.7
Mid_Case,2026,Magnesium,United States,0.0,0.0,70.0
Mid_Case,2026,Manganese,OECD,0.0,0.0,12.0
Mid_Case,2026,Manganese,1,0.0,0.0,0.0
Mid_Case,2026,Manganese,2,0.0,0.0,0.0
Mid_Case,2026,Manganese,3,0.0,0.0,0.0
Mid_Case,2026,Manganese,4,0.0,0.0,19.0
Mid_Case,2026,Manganese,5,0.0,0.0,8.0
Mid_Case,2026,Manganese,6,0.0,0.0,0.0
Mid_Case,2026,Manganese,7,0.0,0.0,25.0
Mid_Case,2026,Manganese,China,0.0,0.0,0.0
Mid_Case,2026,Manganese,Undefined,0.0,0.0,36.0
Mid_Case,2026,Manganese,United States,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,OECD,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,1,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,2,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,3,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,4,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,5,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,6,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,7,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,China,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,Undefined,0.0,0.0,0.0
Mid_Case,2026,Molybdenum,United States,0.0,0.0,100.0
Mid_Case,2026,Nickel,OECD,0.0,0.0,23.876
Mid_Case,2026,Nickel,1,0.0,0.0,0.0
Mid_Case,2026,Nickel,2,0.0,0.0,0.0
Mid_Case,2026,Nickel,3,0.0,0.0,13.208
Mid_Case,2026,Nickel,4,0.0,0.0,0.0
Mid_Case,2026,Nickel,5,0.0,0.0,0.0
Mid_Case,2026,Nickel,6,0.0,0.0,0.0
Mid_Case,2026,Nickel,7,0.0,0.0,0.0
Mid_Case,2026,Nickel,China,0.0,0.0,0.0
Mid_Case,2026,Nickel,Undefined,0.0,0.0,13.716000000000001
Mid_Case,2026,Nickel,United States,0.0,0.0,49.2
Mid_Case,2026,Niobium,OECD,0.0,0.0,25.0
Mid_Case,2026,Niobium,1,0.0,0.0,0.0
Mid_Case,2026,Niobium,2,0.0,0.0,0.0
Mid_Case,2026,Niobium,3,0.0,0.0,0.0
Mid_Case,2026,Niobium,4,0.0,0.0,66.0
