,growth_rate_long_pct,scenario_cv,import_dependency,hhi_wgi,us_capacity_ratio,global_capacity_ratio,global_reserve_coverage,domestic_reserve_share,reserves_high_risk_frac,reserves_china_frac,import_china_frac,import_hhi,production_hhi
growth_rate_long_pct,1.0,0.5464702332734109,-0.03457070942482874,-0.0811416442138114,-0.15826793371690592,0.04965690196969874,-0.07391187925274578,0.0008923213118994243,-0.030694352706683907,0.029564844498464915,-0.5277451971840013,-0.16596078437003925,-0.217843118001168
scenario_cv,0.5464702332734109,1.0,0.05973493145275914,-0.2689078015175054,-0.271108750510892,0.0021525501356153384,-0.007782861553382874,0.16321597221099826,0.14537921925035666,0.08993559876587699,-0.5719020228346455,-0.19515334792314612,-0.296454438012219
import_dependency,-0.03457070942482874,0.05973493145275914,1.0,0.3632795805902444,-0.2201146289218815,-0.29692674848597905,-0.335949076329931,-0.39525129818553906,-0.008285116058487278,0.2210852224266486,0.01715639365520071,-0.47570621894894594,0.16610554030412858
hhi_wgi,-0.0811416442138114,-0.2689078015175054,0.3632795805902444,1.0,-0.2614029085861485,-0.04766810922827319,0.0860880491097006,-0.29903668519234655,-0.14676420873968077,-0.12473422721040328,0.37710179756992473,-0.2688909980593314,0.22728772992558427
us_capacity_ratio,-0.15826793371690592,-0.271108750510892,-0.2201146289218815,-0.2614029085861485,1.0,-0.05920521158673736,-0.0961775012675584,-0.07741795002526403,-0.06357163843557359,-0.0051630973406553175,0.018589276256987194,0.030634976168667855,-0.1569204507345776
global_capacity_ratio,0.04965690196969874,0.0021525501356153384,-0.29692674848597905,-0.04766810922827319,-0.05920521158673736,1.0,-0.041094980090821596,-0.08304050860564846,-0.14988799281794718,-0.1312517113894706,-0.07307820608562021,0.07680667884445007,-0.01415717261120197
global_reserve_coverage,-0.07391187925274578,-0.007782861553382874,-0.335949076329931,0.0860880491097006,-0.0961775012675584,-0.041094980090821596,1.0,0.1074041885477288,0.4934420230318735,-0.07041491800159495,-0.08203273651091361,0.14998699133352386,0.06051560922344957
domestic_reserve_share,0.0008923213118994243,0.16321597221099826,-0.39525129818553906,-0.29903668519234655,-0.07741795002526403,-0.08304050860564846,0.1074041885477288,1.0,0.3147507121548213,0.33960510014799145,-0.1620153939192632,0.3056773433952702,-0.12254497276916587
reserves_high_risk_frac,-0.030694352706683907,0.14537921925035666,-0.008285116058487278,-0.14676420873968077,-0.06357163843557359,-0.14988799281794718,0.4934420230318735,0.3147507121548213,1.0,0.6935047405794155,-0.29411422086782096,-0.2532456538008562,-0.05543482638355391
reserves_china_frac,0.029564844498464915,0.08993559876587699,0.2210852224266486,-0.12473422721040328,-0.0051630973406553175,-0.1312517113894706,-0.07041491800159495,0.33960510014799145,0.6935047405794155,1.0,-0.25046156317149576,-0.43763605916709014,-0.0480822349808352
import_china_frac,-0.5277451971840013,-0.5719020228346455,0.01715639365520071,0.37710179756992473,0.018589276256987194,-0.07307820608562021,-0.08203273651091361,-0.1620153939192632,-0.29411422086782096,-0.25046156317149576,1.0,0.19725442083400188,0.4965250489301746
import_hhi,-0.16596078437003925,-0.19515334792314612,-0.47570621894894594,-0.2688909980593314,0.030634976168667855,0.07680667884445007,0.14998699133352386,0.3056773433952702,-0.2532456538008562,-0.43763605916709014,0.19725442083400188,1.0,0.2371870788544351
production_hhi,-0.217843118001168,-0.296454438012219,0.16610554030412858,0.22728772992558427,-0.1569204507345776,-0.01415717261120197,0.06051560922344957,-0.12254497276916587,-0.05543482638355391,-0.0480822349808352,0.4965250489301746,0.2371870788544351,1.0
