entity,VIF-Pruned,PCA,Sparse PCA,Factor Analysis
Adv_CCS,4,3,0,2
Adv_CCS_CO2e_100by2035,0,2,1,3
Adv_CCS_No_TC_Expiration,2,1,2,1
Adv_NG,2,1,2,1
Adv_NG_CO2e_100by2035,0,2,1,3
Adv_NG_No_TC_Expiration,2,1,2,1
Adv_Nuclear,2,1,2,1
Adv_Nuclear_CO2e_100by2035,4,3,0,2
Adv_Nuclear_No_TC_Expiration,2,1,2,1
Adv_RE,4,3,0,2
Adv_RE_CO2e_100by2035,4,2,1,3
Adv_RE_No_TC_Expiration,3,5,2,1
Con_CCS,2,1,2,1
Con_CCS_CO2e_100by2035,0,2,1,3
Con_CCS_No_TC_Expiration,2,1,2,1
Con_NG,5,1,2,3
Con_NG_CO2e_100by2035,0,2,1,3
Con_NG_No_TC_Expiration,2,5,2,1
Con_Nuclear,2,1,2,1
Con_Nuclear_CO2e_100by2035,0,2,1,3
Con_Nuclear_No_TC_Expiration,2,1,2,1
Con_RE,1,0,2,1
Con_RE_CO2e_100by2035,0,2,1,3
Con_RE_No_TC_Expiration,1,0,2,1
DAC,2,1,2,1
DAC_CO2e_100by2035,5,2,1,3
DAC_No_TC_Expiration,1,1,2,1
DC_Tran_CO2e_100by2035,0,2,1,3
DC_Trans,2,1,2,1
DC_Trans_No_TC_Expiration,2,1,2,1
High_Demand_Growth,2,5,2,0
High_Demand_Growth_CO2e_100by2035,0,2,1,4
High_Demand_Growth_No_TC_Expiration,2,5,2,0
High_H2,3,5,2,0
High_H2_CO2e_100by2035,4,2,1,4
High_H2_No_TC_Expiration,3,5,2,0
High_H2_and_Demand,3,5,2,0
High_H2_and_Demand_CO2e_100by2035,4,2,1,4
High_H2_and_Demand_No_TC_Expiration,3,5,2,0
Limited_Trans,2,1,2,1
Limited_Trans_CO2e_100by2035,0,2,1,3
Limited_Trans_No_TC_Expiration,2,1,2,1
Low_Demand_Growth,2,3,0,2
Low_Demand_Growth_CO2e_100by2035,5,4,0,5
Low_Demand_Growth_No_TC_Expiration,2,1,2,1
Mid_Case,2,1,2,1
Mid_Case_100by2035,0,1,1,3
Mid_Case_95by2035,4,2,1,3
Mid_Case_95by2050,3,5,2,0
Mid_Case_CO2e_100by2035,0,2,1,3
Mid_Case_CO2e_95by2035,0,2,1,3
Mid_Case_CO2e_95by2050,3,5,2,0
Mid_Case_NoNascent,2,1,2,1
Mid_Case_No_111D,2,1,2,1
Mid_Case_No_IRA,1,0,2,1
Mid_Case_No_IRA_111D,2,0,2,1
Mid_Case_No_TC_Expiration,2,1,2,1
No_TC_Expiration_CO2e_100by2035,2,2,1,4
Reduced_RE_Resource,1,1,2,5
Reduced_RE_Resource_CO2e_100by2035,5,4,0,5
Reduced_RE_Resource_No_TC_Expiration,1,1,2,5
