feature,communality,uniqueness
mean_demand_early,0.9997772173981315,0.00022565413850128557
mean_ci_width,0.999100992606915,0.0009019807380115097
total_import_exposed_demand,0.9988206527748836,0.001183820771147981
mean_cv,0.9986938153169204,0.0013037450973630849
total_cumulative_demand,0.9981185361768479,0.0018745938340642976
supply_chain_stress,0.9727466400457012,0.02754650205304532
demand_slope,0.9671670896625192,0.032827901632989986
peak_demand,0.9512810914274479,0.04871864329804043
wind_fraction_2035,0.8940540703882345,0.10594304782373298
temporal_concentration,0.7949171890996619,0.20509548462682736
solar_fraction_2035,0.6738401822656239,0.32598950541761373
peak_supply_chain_stress,0.5025132127456345,0.49772763169598544
mean_n_exceeding_production,0.39612420869141823,0.6038663574195765
storage_fraction_2035,0.3642103607655079,0.6356390923218548
year_of_peak,0.3422969461094617,0.6577052793841096
