material,FA1,FA2,FA3,FA4,FA5
Aluminum,0.09605549496470488,-0.21220711914482335,1.035001048165553,0.5187601313093043,-0.7540903970367716
Boron,-0.2918706651659506,-0.29435947266487533,-1.6091842615261864,3.1248416595908077,-0.21333774049597135
Cadmium,-0.28931002511933784,-0.29498537425508803,-0.38365279355994447,-0.7676952461501714,-0.8705014627907872
Cement,1.7362682819451378,0.07353633015666562,0.29460652362783885,1.002466371269357,-0.1929255956574601
Chromium,-0.27575235336117176,-0.28007909090303285,-0.5138797995134713,-0.004580120261234354,-0.08008464134333773
Copper,-0.1495369446791371,-0.2676494398310559,2.3311734328290212,0.8347317684811143,-0.1141959185584353
Dysprosium,-0.32824141401681056,0.05059565256417957,-1.00565544635312,-1.1635134653720822,1.7895917331138917
Fiberglass,-0.05648619297716418,-0.25236346415656574,-0.4237112654234041,-0.7776216865521967,-0.8738875687968789
Gadium,-0.28957332029476107,-0.2952234393365251,-0.38646925063216164,-0.7772118325714632,-0.9555548105902224
Gallium,-0.28958000052576793,-0.29519612666411016,-0.38751838229649305,-0.790256593102973,-0.8699630219046115
Germanium,-0.28958740462937216,-0.2952770816033519,-0.38591321305171034,-0.7852895776905476,-1.0599274289611265
Glass,0.9738426926618061,-0.06295795975861533,-0.5996647082344686,-0.8340729077373044,-0.824033655612441
Indium,-0.289450534990443,-0.2951827047625735,-0.38533298345945494,-0.778622220239542,-0.8880493957757198
Lead,-0.1036144982012941,-0.25593867805309606,1.5098724389502454,0.3312409918018029,0.6965705786053886
Magnesium,-0.28566216196270333,-0.30036138386392397,0.8297172232747373,-0.026624558149517755,-0.9506621993615736
Manganese,-0.26838685995658246,-0.290327833755116,-0.7985450827756148,0.5252274087032089,0.8078632893904866
Molybdenum,-0.2838895538057801,-0.2937470722228525,1.1762976892923072,0.07099053659294709,1.4912002410280238
Neodymium,-0.8953432721472869,5.361422599334546,0.10549206618568344,0.16074107688254352,-0.4984559590115136
Nickel,-0.282550176158123,-0.2562747320888156,1.306662750178045,0.22203599703048216,-0.43139622941716355
Niobium,-0.2866198800022649,-0.29849938925779795,0.40631803753749296,-0.20094103369977773,-0.7469071073223679
Praseodymium,-0.33554047970290496,0.11895241822269657,-0.9901141742468745,-1.1408488035261515,1.7337027005424632
Selenium,-0.28938911126564226,-0.2951727148387285,-0.3858474939447458,-0.7806942015958845,-0.8749957691992962
Silicon,-0.21258649844991787,-0.2517606927951522,-0.18772218899745693,0.41287060976288437,-0.6573391041543398
Silver,-0.2888643565056394,-0.272400489705073,0.9382705776980613,-0.012250747817159867,0.43861710790570485
Steel,4.929875519425421,0.6661452421995586,-0.2033691793914281,-0.2518495668480503,0.3303333974619525
Tellurium,-0.2892779375847523,-0.2951484238058881,-0.38608006558098895,-0.7822840181750157,-0.8801334773193278
Terbium,-0.31529328034765625,-0.0707230920897491,-1.0339148774042575,-1.2076485478601438,1.9524509572025492
Tin,-0.2871286747557159,-0.22578205714506566,-0.21951501849796207,0.0771297604418229,0.865263616750526
Vanadium,-0.3199540934161041,0.1714048936600341,0.4383444583619216,0.31444672724462336,2.0834889696567465
Yttrium,-0.2932433830681646,-0.29200479803487656,-2.137065153272486,2.8269056811851505,-0.036869343209743784
Zinc,-0.14930891590662135,-0.1984345054009283,2.051399092061322,0.6596164070531663,0.5842282348613573
