material,cluster,silhouette
Aluminum,2,0.5339616291077003
Boron,3,0.0
Cadmium,2,0.22671456163837964
Cement,2,0.45272070284661803
Chromium,0,0.10438767277534594
Copper,2,0.5141674228206555
Dysprosium,0,0.6809906376973954
Fiberglass,6,0.537927777953792
Gadium,0,0.5949761321092021
Gallium,6,0.35462071016137303
Germanium,1,0.0
Glass,6,0.5650604896670767
Indium,6,0.5406599490747912
Lead,2,0.4435289755195968
Magnesium,0,0.4340305825312092
Manganese,6,0.22175538346476534
Molybdenum,5,0.0
Neodymium,0,0.6616457571379265
Nickel,2,0.5031714697674713
Niobium,2,0.24922645860720116
Praseodymium,0,0.6533706107383337
Selenium,6,0.3543946232234424
Silicon,2,0.4066366014468659
Silver,2,0.4148654635847251
Steel,2,0.524570182050159
Tellurium,2,0.40215937678474056
Terbium,0,0.6795361863267423
Tin,2,0.060941679727950865
Vanadium,4,0.0
Yttrium,6,0.3152733490128165
Zinc,2,0.46818653501554747
