material,growth_rate_short_pct,growth_rate_long_pct,peak_annual_growth_short_pct,peak_annual_growth_long_pct,scenario_cv,mean_ci_width,demand_volatility_cv,import_dependency,hhi_wgi,mean_capacity_ratio,max_capacity_ratio,exceedance_frequency,reserve_consumption_pct,domestic_reserve_coverage,global_reserve_coverage,reserves_high_risk_frac,reserves_oecd_frac,reserves_china_frac,import_china_frac,import_high_risk_frac,import_oecd_frac,import_hhi,production_hhi
Aluminum,4.109283925723717,-1.5230961940124188,22.42635373640492,22.42635373640492,0.22427262927083105,0.9561563398845994,0.5920025202126882,0.5903317597820821,0.00876960240421339,15993.029726699131,26634.387594910953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10861086108610861,0.6752675267526753,0.4236280313699937,0.34358017346938774
Boron,11.262769136735095,-5.467296706254254,128.92958425046984,128.92958425046984,0.25318458777730296,1.11027741336843,0.8790279122280118,1.0,0.30086970571428573,0.0,0.0,1.0,0.1160527977602709,38.08165453607117,861.6767706588937,0.9198968787404475,0.07642021913267655,0.00837860233864285,0.011200000000000002,0.8415,0.0842,0.40853852,0.42942423202090496
Cadmium,4.844468995433937,-1.4562988396269905,16.57852514069795,16.57852514069795,0.24244023189877736,2.106113760384983,0.6176473841816087,0.15,0.5,35358.43822071478,61601.67253369883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363681891025641,0.363681891025641,0.601161858974359,0.24787921892977485,0.0
Cement,11.872205133910164,-3.379343516857325,116.69655446061304,116.69655446061304,0.3089001739037572,0.49538127109639357,0.7970413956575862,0.20025600610863767,0.05763658646303069,306.1229919582182,664.0133727310618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882441220610305,0.4225112556278139,0.17829453996633135,0.3263268249217027
Chromium,13.114875377832336,-4.426194646540016,98.62949407830214,98.62949407830214,0.30910643047501607,0.8932504653587047,0.8343226748612278,0.7634001619381016,0.11608055615066663,3558.6909197029154,7087.477142177945,1.0,29.884455844059005,0.0017567661353431316,3.3462212101773936,0.7391666666666666,0.007441666666666667,0.0,0.0,0.472994598919784,0.18913782756551312,0.18978256543487138,0.3136698789015362
Copper,10.070063332484501,-3.0028475202549254,80.30222806676963,80.30222806676963,0.26068950999627355,1.6212426618991196,0.721104837998305,0.2210996690946049,0.004437601428571429,4212.112775643551,7804.8674028065025,1.0,365.82107245420417,0.013110011228091085,0.27335768092615453,0.0836734693877551,0.37857142857142856,0.04183673469387755,0.0,0.0,0.8367000000000001,0.4908485600000002,0.28069439528109585
Dysprosium,12.423591708115023,-4.900008910270371,112.66399749760313,112.66399749760313,0.2860566764996504,3.336109760574904,0.8524531603106151,0.0,0.36038535503942426,156.67937294732738,306.8645766753979,1.0,6.789320406723568,0.31094586565990395,14.729014689153345,0.49877777777777776,0.08444444444444445,0.4888888888888889,0.0,0.0,0.0,0.0,0.37183180867781607
Fiberglass,12.985895083947497,-4.638224345314168,104.47731334449945,104.47731334449945,0.30278642316150467,0.21748733011459642,0.84372514911035,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gadium,4.844468995433782,-1.4562988396270238,16.578525140697977,16.578525140697977,0.24244023189877706,1.0871464686399506,0.6176473841816014,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallium,4.844468995433848,-1.4562988396270127,16.578525140697963,16.578525140697963,0.2424402318987772,3.8382505259594724,0.6176473841816041,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2745549109821964,0.3232646529305861,0.5721144228845768,0.179245290946567,0.0
