material,growth_rate_long_pct,scenario_cv,import_dependency,hhi_wgi,us_capacity_ratio,global_capacity_ratio,global_reserve_coverage,domestic_reserve_share,reserves_high_risk_frac,reserves_china_frac,import_china_frac,import_hhi,production_hhi
Aluminum,-1.5230961940124188,0.22427262927083105,0.442,0.00876960240421339,15993.029726699131,95.50123465371766,0.0,0.0,0.0,0.0,0.0,0.4236280313699937,0.34358017346938774
Boron,-5.467296706254254,0.25318458777730296,0.0,0.30086970571428573,0.0,0.3408728581040111,861.6767706588937,0.04419482552251174,0.9198968787404475,0.00837860233864285,0.011200000000000002,0.40853852,0.42942423202090496
Cadmium,-1.4562988396269905,0.24244023189877736,0.15,0.5,35358.43822071478,0.39970408423416703,0.0,0.0,0.0,0.0,0.363681891025641,0.24787921892977485,0.20916773414020018
Cement,-3.379343516857325,0.3089001739037572,0.2,0.05763658646303069,306.1229919582182,6.263815419827133,0.0,0.0,0.0,0.0,0.0,0.17829453996633135,0.3263268249217027
Chromium,-4.426194646540016,0.30910643047501607,0.77,0.11608055615066663,3558.6909197029154,4.328350300390543,3.3462212101773936,0.000525,0.7391666666666666,0.0,0.0,0.18978256543487138,0.3136698789015362
Copper,-3.0028475202549254,0.26068950999627355,0.418,0.004437601428571429,4212.112775643551,86.33534667469043,0.27335768092615453,0.04795918367346939,0.0836734693877551,0.04183673469387755,0.0,0.4908485600000002,0.28069439528109585
Dysprosium,-4.900008910270371,0.2860566764996504,0.945,0.36038535503942426,156.67937294732738,0.008844033851976345,14.729014689153345,0.021111111111111112,0.49877777777777776,0.4888888888888889,0.0,0.0,0.37183180867781607
Fiberglass,-4.638224345314168,0.30278642316150467,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Gadium,-1.4562988396270238,0.24244023189877706,0.945,0.36038535503942426,17.983187003395095,0.00101509159522814,121.42752945691562,0.021111111111111112,0.49877777777777776,0.4888888888888889,0.0,0.0,0.37183180867781607
Gallium,-1.4562988396270127,0.2424402318987772,1.0,0.5,0.0,0.0015162479680127985,0.0,0.0,0.0,0.0,0.2745549109821964,0.179245290946567,0.9688449376898755
Germanium,-19.69142778608486,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5631999999999999,0.45566853999999984,0.65
Glass,-1.4216565494929334,0.2224464978765436,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Indium,-1.4562988396269905,0.24244023189877742,1.0,0.5,0.0,4.6083603995079185,0.0,0.0,0.0,0.0,0.1056,0.20423848000000006,0.5306074768369444
Lead,-4.553343919302277,0.305818226802851,0.32,0.01625887285714286,16061.118545044423,530.3476901716042,0.02260992472036694,0.04791666666666667,0.2833333333333333,0.22916666666666666,0.0524,0.12985457999999997,0.31003157580549723
Magnesium,-1.4042591545068706,0.2180717349679804,0.775,0.03444028731242036,301.3119276684324,17.777403732437513,0.06787436610897861,0.030418250950570328,0.8797528517110266,0.8555133079847909,0.0484951504849515,0.1416707144404048,0.4505296296296296
Manganese,-3.584591365121337,0.3180405703734936,1.0,0.03911708302543426,0.0,13.922067605212698,3.436371552957265,0.0,0.20823529411764705,0.16470588235294117,0.0,0.1272503988072575,0.30638393303317424
