feature,pca_importance,pca_rank,spca_importance,spca_rank,spca_nonzero,nmf_importance,nmf_rank,avg_rank
reserves_high_risk_frac,0.09553683424656056,1,0.0949237110486415,4,2,0.07503493502664782,6,3.6666666666666665
import_dependency,0.085084915147888,5,0.09117832065553559,5,1,0.08250944530947626,4,4.666666666666667
reserves_china_frac,0.08578384733457234,4,0.10457605450575229,3,1,0.06762808278402947,7,4.666666666666667
global_reserve_coverage,0.09153548119541786,2,0.19952878497115234,2,1,0.027011987018791036,12,5.333333333333333
import_hhi,0.08666734208295078,3,0.06423366892018602,8,1,0.07988529826884166,5,5.333333333333333
us_capacity_ratio,0.0819671358438593,6,0.19999999999999996,1,1,0.04482213676355569,10,5.666666666666667
scenario_cv,0.07845973092207349,9,0.06589754282134591,7,1,0.1630219145213547,2,6.0
growth_rate_long_pct,0.06801632438510445,11,0.05472330289270884,9,1,0.1915392684273782,1,7.0
import_china_frac,0.08101738061164149,7,0.07319140856228373,6,1,0.046795430097541564,9,7.333333333333333
production_hhi,0.06223973874291625,12,0.0061877457236615314,12,1,0.1120462870853752,3,9.0
hhi_wgi,0.07276587040082544,10,0.013475199118575238,11,1,0.05497447439210533,8,9.666666666666666
domestic_reserve_share,0.07940349098775083,8,0.03208426078015698,10,2,0.042411797863557345,11,9.666666666666666
global_capacity_ratio,0.03152190809843924,13,0.0,13,0,0.012318942441345711,13,13.0
