component,explained_variance_ratio,cumulative_variance_ratio,explained_variance_pct,cumulative_variance_pct
PC1,0.2402576160282486,0.2402576160282486,24.02576160282486,24.02576160282486
PC2,0.1600139660151905,0.4002715820434391,16.00139660151905,40.02715820434391
PC3,0.15192438353491805,0.5521959655783572,15.192438353491806,55.219596557835715
PC4,0.11426055343045073,0.6664565190088079,11.426055343045073,66.6456519008808
PC5,0.07979412615019454,0.7462506451590024,7.979412615019454,74.62506451590023
PC6,0.06361952192272217,0.8098701670817245,6.361952192272217,80.98701670817246
PC7,0.05438058514229564,0.8642507522240201,5.4380585142295645,86.42507522240201
PC8,0.035805094628924505,0.9000558468529447,3.5805094628924508,90.00558468529447
PC9,0.03020377594362912,0.9302596227965738,3.020377594362912,93.02596227965738
PC10,0.01638047834859599,0.9466401011451698,1.638047834859599,94.66401011451698
PC11,0.014644879071238704,0.9612849802164085,1.4644879071238703,96.12849802164085
PC12,0.013104511874586694,0.9743894920909952,1.3104511874586695,97.43894920909952
PC13,0.00827570321402554,0.9826651953050207,0.8275703214025539,98.26651953050207
PC14,0.006094316578219817,0.9887595118832405,0.6094316578219817,98.87595118832405
PC15,0.004079116542509525,0.99283862842575,0.4079116542509525,99.283862842575
PC16,0.0032858948039518215,0.9961245232297018,0.32858948039518215,99.61245232297019
PC17,0.0016027501957803065,0.9977272734254821,0.16027501957803064,99.77272734254821
PC18,0.0013356824767234382,0.9990629559022055,0.13356824767234382,99.90629559022055
PC19,0.0007316481286311722,0.9997946040308366,0.07316481286311723,99.97946040308366
PC20,0.0002047412375357314,0.9999993452683724,0.02047412375357314,99.99993452683724
PC21,4.170446704874878e-07,0.9999997623130429,4.170446704874878e-05,99.99997623130429
PC22,1.6574911901604978e-07,0.9999999280621619,1.657491190160498e-05,99.99999280621618
PC23,7.193783783038155e-08,0.9999999999999997,7.193783783038154e-06,99.99999999999997
