,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
mean_demand,0.372540933163808,-0.08130929979915773,0.125359127392462,0.01633425918504052,0.01965360713243459,0.030936487462376837,0.0564631652719435,0.05539043158651264,-0.07842517933567734,0.17925122435109392,0.10587906444486453,-0.10664302887458736,0.07276146814544969,-0.11663089742579955,0.11507295303054763,0.13575561520093854,0.05799514634211782,-0.0326565536557005,-0.037016354664778775,-0.014484655816250032,-0.21863039410053275,-0.3849619458478714,-0.22585580482620626,0.6830608498626023
peak_demand,0.37640419980813344,-0.0756977953551395,0.12855689900671427,0.02436093166816516,0.018099129577139043,0.035075920602371066,0.05385749279674483,0.03971502495576887,-0.05267570586425466,0.1292442022192216,0.05782294941619935,-0.05911548595576523,0.0580076803388178,-0.05488218126330056,0.05097921297614779,0.07615145830312117,0.027264053370729388,-0.018258683171580758,-0.02654603699848813,-0.007888614250823713,-0.06754070950317459,0.6549732980048094,-0.5631667019093272,-0.18918152344834666
scenario_cv,0.009145417805606505,0.12716219534227755,0.14529893602546048,0.3825344104110398,-0.2540538964777593,-0.2518930274511523,-0.2424709962176495,0.16858110830489004,-0.28976988814188404,-0.18149984349253057,-0.2673253335842502,0.37502617251467196,0.3262369090853735,-0.15214137826531626,-0.031127861472679062,0.11426281155343003,0.15865630870121133,-0.30861810473466594,-0.08177831297751476,0.03379978066113637,0.010981185505424533,-0.008162721584677917,-0.006587453360129547,0.0003758485838265794
mean_ci_width,-0.14038265497345295,-0.18087517311331364,0.2094498026295433,0.07064030101868866,-0.34914913994183494,0.08670855711076556,-0.19407071386237643,-0.23753496707141225,0.4543420255255112,0.3738783713323259,0.2392212127293762,0.2122419866363389,0.015697649858119084,0.12393514875374186,-0.2703714603081807,0.2343894248033298,0.09930499171662037,-0.06040793096480753,-0.2629686203644815,-0.01898919275939939,0.0070599358185007574,-0.0017216929637533323,-0.0008289335906535858,-6.925532733412182e-05
demand_volatility,0.3762662808715294,-0.07474885038695105,0.1288395151423863,0.024089837941767042,0.01854617952719338,0.03564215668135896,0.054512888798948014,0.04059467602611795,-0.053499077944510136,0.1332814496941505,0.061366262696698384,-0.060230869791292274,0.06649887519621424,-0.062065926906714905,0.03758205342378051,0.06087133607184889,0.003740561893457688,-0.028605092133670854,-0.021279611073663152,0.009071662426679844,0.423184888954168,0.3503439849901309,0.6651874744283922,0.20577334907408829
demand_slope,-0.36082684154556033,0.03472560094657886,-0.14145022878292057,-0.06315980706129802,-0.012731533672404592,-0.06631512303781253,-0.04932623256713522,0.043290223613503376,-0.09167996604727176,0.04774021124436899,0.13794851769301503,-0.1338600359130867,-0.11672626081138383,-0.09470940780492489,0.5213264209786588,0.5014062538985011,0.46221131841961216,0.06800544442931988,-0.02750389963024131,0.06374557594967571,0.051090779129756,0.12327527222221182,0.01993174142822449,0.032070829879141824
n_active_scenarios,0.015084001082809688,0.13676391186633213,0.12859390608831786,0.323586717015828,-0.28599176311696484,-0.1978682755448243,-0.3156349970143645,0.4276589615303302,-0.04884222546618898,-0.02510018819410097,0.4005209003193318,-0.25660215895903626,-0.29582425927595485,0.15648783136352543,0.0077712929387097705,-0.13790609080495075,-0.1567880441893325,0.24885436925707088,0.09524594764511031,-0.016949984722133635,-0.009590238991723664,0.005226377665928871,0.004119260724865663,-0.0002690495347318827
domestic_production,0.3480339466834745,-0.045988906155533894,0.11540930735232824,0.06574309527267258,0.0005840436480833135,0.035141519422127995,0.014475261209290232,-0.06881234366054577,0.113472361112729,-0.30023749286509577,-0.28001218564523134,0.2529815332377898,-0.30420835150370423,0.5373879404008274,0.07052522166025928,0.12066660673714366,0.33067601381712214,0.28535434332542464,0.05884528194970793,0.0937557788952601,-0.020019779488755704,-0.055761803001979436,0.00980803673924941,0.0039008013655201018
import_dependency,-0.206264028463143,-0.1819705882377313,0.12288694909538248,-0.05433928756567827,-0.15507050676343356,-0.2847257538649396,0.29121367537577136,0.13535849444015083,-0.3096429740037476,0.526981690624915,-0.3946421665120318,-0.15915631323755108,-0.06421910393044243,0.3650860720363009,-0.05306622809195205,-0.037649372241527784,-0.021138745498310536,-0.028240176176358586,0.00928769398868245,-0.019991858071394506,-0.0024791858880518418,0.0001907325212018835,0.0011672716225576926,0.00019509611733266565
crc_weighted_risk,-0.14494186570976297,-0.42348656132356394,0.05290673545301999,0.21239268861298857,0.036710051294984544,0.11222088599209534,0.13033116574010056,0.15532549755146197,0.04532078859227148,-0.11952775332755716,-0.022769497347502648,-0.013507776513357612,0.2021833864485,-0.0565569876531946,0.10572997560989879,-0.015181267455916986,-0.20119349098867179,0.256777903577095,-0.2252975898032179,0.6830175955960343,-0.021625521492358725,-0.0015906217259074671,-0.0019428485966016232,-0.00048136465655571574
