scenario,cluster,silhouette
Adv_CCS,1,0.4798637294620412
Adv_CCS_CO2e_100by2035,2,0.488915550601532
Adv_CCS_No_TC_Expiration,1,0.47195216623215336
Adv_NG,1,0.5882774828750544
Adv_NG_CO2e_100by2035,2,0.41095606797392487
Adv_NG_No_TC_Expiration,1,0.5729494022698215
Adv_Nuclear,1,0.5755678615095595
Adv_Nuclear_CO2e_100by2035,2,0.2538806720952254
Adv_Nuclear_No_TC_Expiration,1,0.5551612834537859
Adv_RE,1,0.21799607156753495
Adv_RE_CO2e_100by2035,2,0.23686907594305737
Adv_RE_No_TC_Expiration,1,0.3693318920023456
Con_CCS,1,0.571605316724319
Con_CCS_CO2e_100by2035,2,0.4338280971301821
Con_CCS_No_TC_Expiration,1,0.5659152192934586
Con_NG,0,0.48630879017992673
Con_NG_CO2e_100by2035,2,0.49889981664937394
Con_NG_No_TC_Expiration,1,0.5596956448872313
Con_Nuclear,1,0.567841838143464
Con_Nuclear_CO2e_100by2035,2,0.32813346546739636
Con_Nuclear_No_TC_Expiration,1,0.5634701856969855
Con_RE,3,0.42708825798174443
Con_RE_CO2e_100by2035,2,0.2381977733454202
Con_RE_No_TC_Expiration,3,0.4102493971740661
DAC,1,0.5629444477553468
DAC_CO2e_100by2035,0,0.3921337106186363
DAC_No_TC_Expiration,1,0.26611590297604953
DC_Tran_CO2e_100by2035,2,-0.010852069307108005
DC_Trans,1,0.5144612270303495
DC_Trans_No_TC_Expiration,1,0.41925101842834406
High_Demand_Growth,1,0.09740533234003755
High_Demand_Growth_CO2e_100by2035,2,0.2830250170865281
High_Demand_Growth_No_TC_Expiration,1,0.11435262188229835
High_H2,3,0.45338727318497407
High_H2_CO2e_100by2035,1,0.34212942005316355
High_H2_No_TC_Expiration,3,0.47615007210229027
High_H2_and_Demand,3,0.44655058548515014
High_H2_and_Demand_CO2e_100by2035,1,0.3231276784150585
High_H2_and_Demand_No_TC_Expiration,3,0.33617483275560345
Limited_Trans,1,0.5323756443087906
Limited_Trans_CO2e_100by2035,2,0.35776206272597544
Limited_Trans_No_TC_Expiration,1,0.5158968592553518
Low_Demand_Growth,1,0.3337776286141776
Low_Demand_Growth_CO2e_100by2035,0,0.31963443180835255
Low_Demand_Growth_No_TC_Expiration,1,0.35930533992734875
Mid_Case,1,0.525921170904054
Mid_Case_100by2035,2,0.25104621533805904
Mid_Case_95by2035,1,0.11007679947689084
Mid_Case_95by2050,1,0.12299869259798779
Mid_Case_CO2e_100by2035,2,0.5076859232989266
Mid_Case_CO2e_95by2035,2,0.3235315563566171
Mid_Case_CO2e_95by2050,1,0.0774201849650433
Mid_Case_NoNascent,1,0.5590810351942702
Mid_Case_No_111D,1,0.09302485426757334
Mid_Case_No_IRA,3,0.40159070395230906
Mid_Case_No_IRA_111D,3,0.4218802463796735
Mid_Case_No_TC_Expiration,1,0.5684883286795663
No_TC_Expiration_CO2e_100by2035,1,0.3085605171543147
Reduced_RE_Resource,1,0.270504963118115
Reduced_RE_Resource_CO2e_100by2035,2,0.04009509930197046
Reduced_RE_Resource_No_TC_Expiration,1,0.1491557326129531
