scenario,growth_rate_short_pct,growth_rate_long_pct,peak_annual_growth_short_pct,peak_annual_growth_long_pct,mean_cv,mean_ci_width,solar_fraction_2035,wind_fraction_2035,storage_fraction_2035,solar_fraction_2050,wind_fraction_2050,storage_fraction_2050,supply_chain_stress,peak_supply_chain_stress,mean_n_exceeding_production,peak_n_exceeding_production
Adv_CCS,0.8661454850926446,-13.410664481543089,75.30519127841063,84.11449142798801,0.2974670843121353,1.0491339455345114,0.27547965914420314,0.2648146369302226,0.06330036722799624,0.30984784766500967,0.2554837479583372,0.09461853865575985,0.11131295472223396,0.1605261113387373,15.444444444444445,18
Adv_CCS_CO2e_100by2035,12.701207213385453,-7.927440634061849,90.98172978803277,90.98172978803277,0.3338497196348371,1.1842168340383412,0.2988934337901376,0.33578938678474995,0.08277259332341012,0.3259605484518173,0.30400031742972317,0.12052235714956254,0.12154662766306466,0.18087051431454101,16.0,18
Adv_CCS_No_TC_Expiration,0.4264308777355669,-2.782319396130308,75.30519127841063,80.26025188925722,0.3419472720914601,1.2055000431364191,0.2751503264571169,0.2633133172424032,0.06345014742245543,0.3329762029429103,0.2812677579564947,0.08730738348255553,0.11963920791623976,0.16384918499231826,16.0,18
Adv_NG,1.2011573813876513,-3.5964718426941302,79.52642564865401,79.52642564865401,0.34024034944107767,1.200714155503518,0.2797574380961485,0.25362971999048134,0.06512426368145907,0.33919668993600405,0.2530563785216079,0.11081722559730577,0.12766731638108222,0.16903349733079048,16.0,18
Adv_NG_CO2e_100by2035,13.90056440649764,-7.731222899437491,98.60468440784136,98.60468440784136,0.3337533143105967,1.1842307899177327,0.3009219671347612,0.3398316708382208,0.07920451719362272,0.3259771791076789,0.3067614661476724,0.12123188172793063,0.12274537749981751,0.1854047601619238,16.0,18
Adv_NG_No_TC_Expiration,0.5416636428486143,-3.126137433633179,79.52642564865401,79.52642564865401,0.34041610671102196,1.2012605455685148,0.27930249186218575,0.25163861259651427,0.06530599534144105,0.3354317352390929,0.25073395539587273,0.10671769791774974,0.12683851350832157,0.1720979317125433,16.0,18
Adv_Nuclear,2.4182227780657994,-4.071806333823083,79.71635687241633,79.71635687241633,0.3417202213835927,1.2058936432496827,0.28206580306404067,0.2659686448818179,0.06447432514437297,0.338429139601049,0.26427763526703685,0.11367825501885276,0.1261903284661155,0.16988158256113428,16.0,18
Adv_Nuclear_CO2e_100by2035,4.3288314383154285,-14.957008526179944,70.1729385299545,130.49302624675,0.30539145721572064,1.0863158838828673,0.28475737971641524,0.3223847718106964,0.07389622349900733,0.28361236268403384,0.2680667746101332,0.11496445232221274,0.11369189123640631,0.1477490200594299,14.0,18
Adv_Nuclear_No_TC_Expiration,1.7817540339352074,-3.7697743582415493,79.71635687241633,79.71635687241633,0.3419164425321396,1.2063690937847151,0.28135500494445476,0.26387145169007364,0.06492828891005661,0.3324570876934504,0.2661644750801738,0.1068173186835653,0.12383356323462597,0.1614897065477186,16.0,18
Adv_RE,2.2788767452258454,-14.782509904376253,74.70110921456464,74.93788410648344,0.30984393734904875,1.095163738142,0.3014814933524695,0.2721882662351804,0.08053312737133021,0.31512117824006924,0.2592257085230614,0.12519478791925442,0.11105864330651234,0.14501838669008815,15.444444444444445,18
Adv_RE_CO2e_100by2035,11.625245969400838,-7.792092012092377,98.1781069508472,115.88999754108782,0.3387250387790904,1.20366842873888,0.317680392978871,0.31859556409812695,0.08692053500555379,0.3274517074576513,0.2948194092152933,0.1357555174789232,0.10840652500466794,0.14612378033171966,15.88888888888889,18
Adv_RE_No_TC_Expiration,1.0324062129636347,-1.5562591970622164,74.74961854229326,74.74961854229326,0.3419745070651779,1.2071789617123803,0.30056533975196315,0.26796802242179985,0.08046504408526385,0.3274446647372305,0.30231936445471824,0.10196723131146747,0.11486309712948069,0.14121495376808746,16.0,18
Con_CCS,2.9663727806795888,-3.3568297120557857,83.40629038975366,83.40629038975366,0.3409455170651643,1.202381962813306,0.28487805530873483,0.2668711031403996,0.06513450500176066,0.3450820386227115,0.2731494366909699,0.11169645366234689,0.12549097051572272,0.17366529891207955,16.0,18
Con_CCS_CO2e_100by2035,13.33838845831581,-7.950934398617555,105.70405451174453,106.36722900291211,0.3356870869407134,1.1913801848430237,0.3048271486651597,0.34276056663933846,0.07553095347360245,0.3230443940790924,0.3152953885898104,0.11508085820254273,0.12031899738408268,0.18130288825478813,16.0,18
Con_CCS_No_TC_Expiration,2.3741178296356202,-3.0548740376845465,83.40629038975366,83.40629038975366,0.34093064743341545,1.2021730409635045,0.28450384080641306,0.2645743959009889,0.06554006708682471,0.3417090121355819,0.2716804750872139,0.10583170404859331,0.12476393084764283,0.16415467624112093,16.0,18
Con_NG,-2.257705344212517,-9.252706542049014,67.6670942636018,87.73520348924009,0.33076831438711046,1.171647321484749,0.2909919256835124,0.2973984881470067,0.06379419535025058,0.316495908859718,0.26779602045834544,0.07889947054773619,0.12331565296806359,0.2189404935097634,15.666666666666666,18
Con_NG_CO2e_100by2035,4.494907101814326,-8.76197544426057,92.59432145194538,107.5505260341755,0.3357035309306776,1.191647848410551,0.308037557159548,0.34087085751572205,0.07897481764871406,0.3243356924667416,0.31382387532503914,0.11466112548264289,0.11968261298249111,0.17705786812563734,16.0,18
Con_NG_No_TC_Expiration,-2.3863392237866363,-4.269105421914937,67.96824626455215,72.00471644338451,0.3463964353300247,1.2198645347652288,0.2903989142121465,0.29723179553226403,0.06389731483592948,0.3379880297726827,0.3107319463447775,0.08537219595805438,0.1192106122895566,0.16572293218068682,16.0,18
Con_Nuclear,2.4204059810134977,-2.913241104084462,79.71635687241633,79.71635687241633,0.3404287790281722,1.200650110495147,0.28206207071783146,0.2659777505724522,0.06447280638745885,0.347592812461224,0.27093309298642654,0.11144562792812784,0.12629942778376402,0.1715971859771199,16.0,18
Con_Nuclear_CO2e_100by2035,12.396305794776739,-4.864093771346081,102.6419571578818,102.6419571578818,0.3364492265051135,1.1910170270032614,0.30435000209582097,0.33987219683950204,0.07891327492979,0.33628169402026376,0.3142515055131559,0.12393888193628451,0.12137120336486891,0.1812154426445014,16.0,18
Con_Nuclear_No_TC_Expiration,1.785029604306622,-2.801611966678594,79.71635687241633,79.71635687241633,0.34075926296379155,1.2016271244705505,0.28136519434471147,0.26386702364816306,0.0649243346492407,0.3424585858840597,0.2717214640630796,0.10576316720345791,0.12431590690586211,0.16775841534729766,16.0,18
Con_RE,2.662404997371346,-5.075970260679693,87.1840424929061,100.51478666803949,0.34306252826898703,1.2098290853167655,0.2525022830383434,0.2605778432920317,0.039849504708453894,0.32042809860495813,0.25457288192950467,0.07037360720699593,0.12009926197133264,0.19585458580423848,16.0,18
Con_RE_CO2e_100by2035,14.063324755219405,-11.716716171359433,123.62660926450506,126.23101132667804,0.34246978824487023,1.2120676927509444,0.2730492427254768,0.3603244265398766,0.06357966606491358,0.29111658936849144,0.31731357247580105,0.0941922133589274,0.1150614793203343,0.17255710528615195,15.666666666666666,18
Con_RE_No_TC_Expiration,2.524546553643125,-5.300235359547856,87.18409198942108,102.96287641732346,0.34312399335236643,1.210014491608618,0.2528205315216716,0.25972150051194837,0.03986417947691881,0.3200254255310056,0.2539778529627896,0.06987696260896746,0.11947549904962501,0.19837208603077686,16.0,18
DAC,2.3986143529280497,-3.1561686700869958,78.82130589756757,80.01418776730496,0.34085391535302423,1.2019451694129093,0.2818868205116308,0.26600065866696615,0.06403920476549904,0.3437716762132204,0.27348960644414416,0.11288430652209955,0.1257739602078625,0.17332251841912655,16.0,18
DAC_CO2e_100by2035,14.82812825239796,-10.430432281449738,114.25351958250211,146.82405122508928,0.3361907646260807,1.1920529824359762,0.29292985054660353,0.3291274651052449,0.05122499044803297,0.3163537058694051,0.31067065137489513,0.08821075289789389,0.12291019379338865,0.20441185460782066,15.666666666666666,18
DAC_No_TC_Expiration,1.7592689077965251,-3.035520378944273,78.82130589756757,86.95340088759693,0.3407657018657798,1.2014448153375894,0.28128148249330354,0.26376273049429927,0.06452071383405632,0.3466022374353941,0.26237763299679306,0.11609252351172313,0.12814887442584888,0.1934157355578136,16.0,18
DC_Tran_CO2e_100by2035,11.589423841201517,-5.950717482033222,104.61911574404145,104.61911574404145,0.33884135401166177,1.1987221908907428,0.2978035134970779,0.3655028894296317,0.0564019131840307,0.32000188280726427,0.3423596547598028,0.10945769076145444,0.1177877668187865,0.16481839284046373,16.0,18
DC_Trans,3.434379663460822,-2.855866164325539,83.31208693264344,89.0165768250618,0.34265500436644464,1.2076219591495787,0.28813014074430726,0.2688940463829466,0.062253135578507715,0.34486888570899393,0.29041881113637885,0.10624322043698024,0.12371480744280589,0.16323687355589625,16.0,18
DC_Trans_No_TC_Expiration,2.1472412837076242,-3.0821752345671642,83.31208693264344,83.5673771484473,0.3424874596663903,1.2071580010575491,0.2879388915670787,0.27127207563551076,0.05863300321084244,0.3446972743838426,0.2845945736719911,0.10488554241478514,0.1253502717939344,0.1699131831087436,16.0,18
High_Demand_Growth,8.758662249284782,-2.6718918750977045,98.82418721207462,98.82418721207462,0.3442842260260287,1.2128375516831116,0.2902199943447985,0.28231658290160505,0.05627146736996631,0.3513412190769934,0.2887245138638414,0.0763092299016848,0.12316985363201557,0.18111786847030611,16.0,18
High_Demand_Growth_CO2e_100by2035,16.358852989129094,-6.24529019316238,128.11094896303638,130.15523866406238,0.33627084369451216,1.1912704173467192,0.3139898402247222,0.34509297529360994,0.06739937126238969,0.32231221221695744,0.33565531680600164,0.07676462843167597,0.11310194735474124,0.17173949180183487,16.0,18
High_Demand_Growth_No_TC_Expiration,8.515990890005314,-2.3588978718862137,98.82423504523685,98.82423504523685,0.3453385877751298,1.2166193382358101,0.29037566159365097,0.2808863697463228,0.056313644629854276,0.35035252071722006,0.2884522888872507,0.07541689351541972,0.1228290003263967,0.17811942096161848,16.0,18
High_H2,4.003802847745569,-0.7352485839769247,82.43978161139911,91.26362858808612,0.3487202105564318,1.2276501130762472,0.27534079661921934,0.2909626086881026,0.04335116042501407,0.3476633158838195,0.28967900912191047,0.07886092718218028,0.12234229368415539,0.16222827315454308,16.0,18
High_H2_CO2e_100by2035,9.217198482391654,-3.2338646522807295,114.01628393048969,114.01628393048969,0.34461433019866294,1.2170609416310678,0.30269309464424765,0.3472458695419201,0.06283306300422595,0.3224253193416861,0.32079354138852173,0.08571300640906004,0.1139313247628956,0.15169156759711147,16.0,18
High_H2_No_TC_Expiration,3.8251876768534943,-0.2901554611401231,82.43964981910474,91.22114885174638,0.34700316119058255,1.2223671444120792,0.2752521316597093,0.29032582106240457,0.043358818380143695,0.34406340622268783,0.27648063490980257,0.08286952522181835,0.1227310930372352,0.16303658332547696,16.0,18
High_H2_and_Demand,8.84067508727227,0.14315944477904285,103.23903196245655,109.35907393944983,0.34670783315687553,1.2209365627466455,0.28558619354586373,0.29331517227994613,0.04519301227259721,0.3501788150101145,0.30095866740912924,0.05414564553521274,0.11982656950647555,0.16527715733214374,16.0,18
High_H2_and_Demand_CO2e_100by2035,13.167692028251077,-3.430083319233082,144.533973485791,148.2299984639655,0.3415985571660968,1.2073082983976746,0.3114254607426551,0.3400570180055045,0.05780509842671558,0.3188401397681941,0.33812167460337356,0.05851456324007641,0.10933753319989475,0.1616239960273925,16.0,18
High_H2_and_Demand_No_TC_Expiration,8.840959290182344,-0.17088415852801173,103.23903196245655,103.23903196245655,0.3458001306857217,1.2188933031055402,0.2855785163675368,0.2933277750048674,0.04519266966195768,0.3473834616858585,0.2996777055732071,0.05378070081633524,0.11742055645301488,0.15445268791144612,16.0,18
Limited_Trans,2.212780147845136,-3.2776482384192906,69.54055688539313,69.54055688539313,0.3397615202813133,1.1990850877952017,0.2773063567285114,0.2570819917929531,0.06950086006290683,0.34273265404557945,0.2483690291463611,0.11695982718814571,0.12786925059015875,0.1783733277136356,16.0,18
Limited_Trans_CO2e_100by2035,13.779407182056364,-8.187636741122958,99.43383368172127,99.43383368172127,0.3282100828825338,1.1672724580926026,0.30875206657714255,0.3077323816905287,0.08831780226283296,0.32282939914727427,0.2833717248262079,0.1211335133510952,0.11888343155138997,0.1862522617102497,16.0,18
Limited_Trans_No_TC_Expiration,2.0481874503861763,-3.825990841310293,69.54055688539313,69.91246272542166,0.34002293188116484,1.1998840160238693,0.27717432776943696,0.2564778435295763,0.06913717998613962,0.33665010204943635,0.25153307811851267,0.11270633536560756,0.12631779609805602,0.1791099208245574,16.0,18
Low_Demand_Growth,-1.0825445300725658,-12.937900076719995,82.5345165300951,127.87234758349493,0.2909893933509668,1.0294491668999437,0.2943552269873923,0.24784513906300557,0.05852739268743555,0.33093827268843196,0.22937822122773815,0.09101375804256945,0.12271636574607572,0.1675287344199079,15.222222222222221,18
Low_Demand_Growth_CO2e_100by2035,14.891025082888744,-11.334742758997498,96.2630687805338,100.20987458317312,0.310933910822332,1.10859773395127,0.33561756195318376,0.2984211240301807,0.07147497222716798,0.36805736284692253,0.2659335386017754,0.10493204098559969,0.14016681432385203,0.21248016304009898,15.0,18
