scenario,total_cumulative_demand,peak_demand,mean_demand_early,year_of_peak,demand_slope,temporal_concentration,mean_cv,mean_ci_width,solar_fraction_2035,wind_fraction_2035,storage_fraction_2035,n_active_materials,supply_chain_stress,peak_supply_chain_stress,mean_n_exceeding_production,peak_n_exceeding_production,total_import_exposed_demand
Adv_CCS,219814351.70940718,57721094.15317325,40679446.52186067,2032.0,-554625.2029943897,2.005910433602077,0.2974670843121353,1.0491339455345114,0.27547965914420314,0.2648146369302226,0.06330036722799624,30,0.1523317625207018,0.22589241449860561,15.555555555555555,18,75117121.36057271
Adv_CCS_CO2e_100by2035,288196440.383935,99454931.62492453,67355975.23671825,2035.0,-1132120.8097074365,3.9400046060700498,0.3338497196348371,1.1842168340383412,0.2988934337901376,0.33578938678474995,0.08277259332341012,30,0.16908443581090984,0.252099846627553,16.0,18,96186134.6107436
Adv_CCS_No_TC_Expiration,258815991.877455,57721094.15317325,40366004.486109205,2032.0,197220.78677798316,1.2898503142881512,0.3419472720914601,1.2055000431364191,0.2751503264571169,0.2633133172424032,0.06345014742245543,30,0.1666321828335157,0.23074182124760623,16.0,18,91294103.75233829
Adv_NG,227556593.74559522,55673356.87106768,39109622.62479087,2032.0,-107642.43335641504,1.578689939973799,0.34024034944107767,1.200714155503518,0.2797574380961485,0.25362971999048134,0.06512426368145907,30,0.17779457801407378,0.23549739993911772,16.0,18,83370557.06801446
Adv_NG_CO2e_100by2035,291443371.89183676,101703313.35253239,69568814.37715828,2035.0,-1229731.8238735334,4.237957906131334,0.3337533143105967,1.1842307899177327,0.3009219671347612,0.3398316708382208,0.07920451719362272,30,0.17103858910715747,0.25937674090192997,16.0,18,97798122.66042818
Adv_NG_No_TC_Expiration,230268452.25602347,55673356.87106768,38684544.78945262,2032.0,-27651.5159682774,1.497731201572154,0.34041610671102196,1.2012605455685148,0.27930249186218575,0.25163861259651427,0.06530599534144105,30,0.17668092455706105,0.24088842095104124,16.0,18,84357938.18650965
Adv_Nuclear,237539614.86520723,58784038.774977855,42076835.201309584,2032.0,-209626.76739348582,1.7554369495386284,0.3417202213835927,1.2058936432496827,0.28206580306404067,0.2659686448818179,0.06447432514437297,30,0.17627209416151615,0.23856430897512299,16.0,18,85909516.63884036
Adv_Nuclear_CO2e_100by2035,218347050.68348637,69024369.76283427,59551329.84496212,2032.0,-1553592.1088402064,8.784076461817907,0.30539145721572064,1.0863158838828673,0.28475737971641524,0.3223847718106964,0.07389622349900733,30,0.15934411652191982,0.20684166511027838,13.777777777777779,18,70344441.64385237
Adv_Nuclear_No_TC_Expiration,240134039.33773398,58784038.774977855,41602059.25695904,2032.0,-137162.66766255617,1.6677599874204199,0.3419164425321396,1.2063690937847151,0.28135500494445476,0.26387145169007364,0.06492828891005661,30,0.17298897881219746,0.22689529542300477,16.0,18,86202263.28200036
Adv_RE,256017510.81183758,63662717.26809565,47007091.361313336,2032.0,-501459.32016800606,1.8884811741719638,0.30984393734904875,1.095163738142,0.3014814933524695,0.2721882662351804,0.08053312737133021,30,0.15438596912626734,0.20244126877553148,15.777777777777779,18,87166242.2572523
Adv_RE_CO2e_100by2035,301316903.59351677,103216625.67706639,71155114.81311862,2035.0,-1213859.642282952,3.848700937716113,0.3387250387790904,1.20366842873888,0.317680392978871,0.31859556409812695,0.08692053500555379,30,0.1523298400924348,0.204904372645888,16.0,18,98466293.37998168
Adv_RE_No_TC_Expiration,299772353.92270607,63418273.67002681,45761928.96374377,2032.0,347927.19604896376,1.1915560477018774,0.3419745070651779,1.2071789617123803,0.30056533975196315,0.26796802242179985,0.08046504408526385,30,0.16073882047720278,0.19893979506068063,16.0,18,103215237.451617
Con_CCS,251624180.6326831,59746160.88933065,42968252.56982201,2032.0,-113468.29890970724,1.5856783517573636,0.3409455170651643,1.202381962813306,0.28487805530873483,0.2668711031403996,0.06513450500176066,30,0.1750735072113809,0.24281951459680629,16.0,18,91132053.4591943
Con_CCS_CO2e_100by2035,295446652.36545414,104246704.73074022,72056892.24448134,2035.0,-1359192.797126261,4.534477986806945,0.3356870869407134,1.1913801848430237,0.3048271486651597,0.34276056663933846,0.07553095347360245,30,0.16780891919534144,0.2541209580485293,16.0,18,98699433.10535108
Con_CCS_No_TC_Expiration,253824669.33151826,59746160.88933065,42514697.4211132,2032.0,-38271.93431084912,1.5172354758362405,0.34093064743341545,1.2021730409635045,0.28450384080641306,0.2645743959009889,0.06554006708682471,30,0.17405529813421816,0.22937953251389231,16.0,18,91779685.81931579
Con_NG,229007688.8815056,71555522.84769066,51129137.74604722,2032.0,-990144.7930585507,3.5907799108408054,0.33076831438711046,1.171647321484749,0.2909919256835124,0.2973984881470067,0.06379419535025058,30,0.17007593321112077,0.30631616686579294,16.0,18,78437548.07311313
Con_NG_CO2e_100by2035,295305947.0754382,87661677.50290343,72524128.69873892,2035.0,-1526443.2310019897,4.4229420192038305,0.3357035309306776,1.191647848410551,0.308037557159548,0.34087085751572205,0.07897481764871406,30,0.16690099484374643,0.24841296963157733,16.0,18,98546215.68446964
Con_NG_No_TC_Expiration,303363099.0807783,71554927.73272116,50971582.265334435,2032.0,-48821.79521174809,1.492955594948304,0.3463964353300247,1.2198645347652288,0.2903989142121465,0.29723179553226403,0.06389731483592948,30,0.1666853440881908,0.23174074971012124,16.0,18,105317360.81060185
Con_Nuclear,252285341.80965614,58784038.774977855,42078597.86641807,2032.0,-27404.47023078912,1.4991728739301822,0.3404287790281722,1.200650110495147,0.28206207071783146,0.2659777505724522,0.06447280638745885,30,0.1761095059576208,0.23993300549873786,16.0,18,91708203.26041809
Con_Nuclear_CO2e_100by2035,313927616.058574,99679488.46486457,70328810.2728848,2035.0,-991344.844989064,3.149414286596242,0.3364492265051135,1.1910170270032614,0.30435000209582097,0.33987219683950204,0.07891327492979,30,0.16907318850689718,0.2535245321989025,16.0,18,106116592.09544978
Con_Nuclear_No_TC_Expiration,254520112.74099624,58784038.774977855,41604219.362635516,2032.0,35830.822871762604,1.4383490584369758,0.34075926296379155,1.2016271244705505,0.28136519434471147,0.26386702364816306,0.0649243346492407,30,0.17333978172584202,0.23459741011440466,16.0,18,92030581.9043143
Con_RE,226435834.43942508,53260102.30351526,36839125.81954139,2032.0,814.8298714724725,1.4828012306523792,0.34306252826898703,1.2098290853167655,0.2525022830383434,0.2605778432920317,0.039849504708453894,30,0.16870272622506957,0.27256022191832385,16.0,18,77737791.97833246
Con_RE_CO2e_100by2035,277922604.296234,109183068.12752979,70447742.89750493,2035.0,-1417833.4653435845,5.962477597865982,0.34246978824487023,1.2120676927509444,0.2730492427254768,0.3603244265398766,0.06357966606491358,30,0.16171558151453547,0.24152279953687322,16.0,18,85507953.77526908
Con_RE_No_TC_Expiration,227718667.38309088,53260170.51723856,36730120.75679946,2032.0,29947.058267193166,1.4523091698782353,0.34312399335236643,1.210014491608618,0.2528205315216716,0.25972150051194837,0.03986417947691881,30,0.16802715373160274,0.2761488936863353,16.0,18,77894881.49815527
DAC,250411225.3206426,58727143.63123284,42084141.298828505,2032.0,-81688.39699450284,1.52833228179772,0.34085391535302423,1.2019451694129093,0.2818868205116308,0.26600065866696615,0.06403920476549904,30,0.17547950374398302,0.24143304237413601,16.0,18,90523478.52578074
DAC_CO2e_100by2035,297595427.48523986,109173123.7049459,73464835.59494038,2035.0,-1350963.9871545355,4.269545606821016,0.3361907646260807,1.1920529824359762,0.29292985054660353,0.3291274651052449,0.05122499044803297,30,0.1705998387891116,0.28489051073282,16.0,18,100634478.5357967
DAC_No_TC_Expiration,254087376.84785566,58727143.63123284,41604283.83894887,2032.0,9361.486797963309,1.4421413594678567,0.3407657018657798,1.2014448153375894,0.28128148249330354,0.26376273049429927,0.06452071383405632,30,0.1788175611885382,0.269886113086844,16.0,18,93354832.6715935
DC_Tran_CO2e_100by2035,293099439.04344344,96038720.22940452,68289899.27122651,2035.0,-1106511.316017288,3.580544799564154,0.33884135401166177,1.1987221908907428,0.2978035134970779,0.3655028894296317,0.0564019131840307,30,0.16395574562525234,0.23079206572520858,16.0,18,96611786.77771813
DC_Trans,252378799.54131153,58579684.1487583,42731795.19770717,2032.0,-88796.49862431607,1.5530720515357475,0.34265500436644464,1.2076219591495787,0.28813014074430726,0.2688940463829466,0.062253135578507715,30,0.17265238620740955,0.22783672295187474,16.0,18,90414535.69696139
