,SPC1,SPC2,SPC3,SPC4,SPC5
mean_demand,0.41874861782059913,0.0,0.0,0.0,0.0
peak_demand,0.4247282567221605,0.0,0.0,0.0,0.0
scenario_cv,0.0,0.0,0.0,0.0,0.0
mean_ci_width,0.0,-0.05492354880684536,0.0,0.0,0.0
demand_volatility,0.4245502280155321,0.0,0.0,0.0,0.0
demand_slope,-0.3970390639290425,0.0,0.0,0.0,0.0
domestic_production,0.3637329449057685,0.0,0.0,0.0,0.0
import_dependency,-0.007674291750892886,-0.11570514098882127,0.0,0.0,0.0
crc_weighted_risk,0.0,-0.6043793653594356,0.0,0.0,0.0
mean_capacity_ratio,0.0,0.0,0.0,0.0,0.7071067811865477
max_capacity_ratio,0.0,0.0,0.0,0.0,0.7071067811865475
exceedance_frequency,0.0,0.0,0.0,0.0,0.0
cumulative_demand,0.4171475022791113,0.0,0.0,0.0,0.0
reserve_consumption_pct,0.0,0.0,0.0,0.0,0.0
domestic_reserve_coverage,0.0,0.0,0.0,0.27878959463385106,0.0
global_reserve_coverage,0.0,0.0,0.42420907175932154,0.0,0.0
reserves_high_risk_frac,0.0,0.0,0.626730747279342,0.0,0.0
reserves_oecd_frac,0.0,0.4893455080020337,0.0,0.0,0.0
reserves_china_frac,0.0,0.0,0.6536476373794772,0.0,0.0
import_china_frac,0.0,0.0,0.0,0.38319675794339253,0.0
import_high_risk_frac,0.0,0.0,0.0,0.670064786741533,0.0
import_oecd_frac,0.0,0.6128142644896436,0.0,0.0,0.0
import_hhi,0.0,0.05762775285566636,0.0,0.5713578460077273,0.0
