,SPC1,SPC2,SPC3,SPC4
total_cumulative_demand,0.2602185421252513,0.2832092915066438,-0.15506510631056453,0.0
peak_demand,0.4615162078191899,0.0,0.0,0.0
mean_demand_early,0.47163533675680164,0.0,0.0,0.0
year_of_peak,0.2252530305020428,-0.023049672421156714,0.0,0.0
demand_slope,-0.3093216114225205,0.28387994347366263,-0.06908001544505474,0.0
temporal_concentration,0.2930296917898804,-0.3291683108338364,0.0,0.0
mean_cv,0.0,0.491155674147638,0.0,0.0
mean_ci_width,0.0,0.4824000222414303,0.0,0.0
solar_fraction_2035,0.10536170668642728,0.0,0.0,0.6331550103424887
wind_fraction_2035,0.44638135271133206,0.0,0.0,0.0
storage_fraction_2035,0.0,0.0,0.0,0.7740250208347295
supply_chain_stress,-0.12053684374288051,0.0,0.6166540964769027,0.0
peak_supply_chain_stress,0.0,0.0,0.7474150740721833,0.0
mean_n_exceeding_production,0.0,0.38479844692455534,0.14288706114799424,0.0
total_import_exposed_demand,0.1991920934150733,0.3291019419272216,-0.10897010771501175,0.0
