section,metric,value,percentage
overall,total_pairs,167.0,
overall,parametric_fits,167.0,
overall,empirical_fallback,0.0,
overall,ks_pass_rate,0.982,
distribution_type,lognormal,167.0,100.0
sample_size,min,1.0,
sample_size,q25,2.0,
sample_size,median,3.0,
sample_size,q75,5.0,
sample_size,max,102.0,
sample_size,mean,7.9,
sample_size_bins,n=1,23.0,13.8
sample_size_bins,n=2,32.0,19.2
sample_size_bins,n=3,38.0,22.8
sample_size_bins,n=4-5,35.0,21.0
sample_size_bins,n=6-10,11.0,6.6
sample_size_bins,n=11-20,14.0,8.4
sample_size_bins,n>20,14.0,8.4
gof_lognormal,median_ks_statistic,0.2327,
gof_lognormal,median_aic,0.0,
gof_lognormal,count,167.0,
