technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_loc,param_scale,param_min,param_max,param_a,param_s
Bio CCS,Aluminum,1,1.3,0.0,1.3,1.3,1.3,1.3,1.3,True,Single data point - using narrow uniform distribution around 1.300,uniform,0.0,1.0,0.0,0.0,0.0,1.1700000000000002,0.26,1.1700000000000002,1.4300000000000002,,
Bio CCS,Cement,2,32.005,9.783529424497072,32.005,28.546,35.464,25.087,38.923,True,"Using uniform distribution (n=2, KS p=0.5000). Best AIC rejected: lognormal: Lognormal shape s=17.95 > 3.0",uniform,0.5,0.5,21.025850888870277,14.50909556429969,11.89538992541958,25.087,13.836000000000002,25.087,38.923,,
Bio CCS,Copper,3,0.5966666666666667,0.050083264004389054,0.6,0.5725,0.6225,0.545,0.645,True,"Using uniform distribution (n=3, KS p=0.7778). Best AIC rejected: lognormal: Lognormal shape s=16.09 > 3.0",uniform,0.33333333333333337,0.7777777777777778,13.746911956353575,-9.815510557964275,-11.618285980628055,0.545,0.09999999999999998,0.545,0.645,,
Bio CCS,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"Using gamma distribution (n=3, KS p=0.1227). Best AIC rejected: lognormal: Lognormal shape s=16.70 > 3.0",gamma,0.6160089310288113,0.12272314213534788,3.622948457621427,-56.56702618659896,-59.27118932059463,0.11199999999999999,0.023509946887400983,,,0.08870662441064983,
Bio CCS,Nickel,3,0.009666666666666667,0.0015275252316519464,0.01,0.009000000000000001,0.010499999999999999,0.008,0.011,True,"Using uniform distribution (n=3, KS p=0.7778). Best AIC rejected: lognormal: Lognormal shape s=16.45 > 3.0",uniform,0.33333333333333354,0.7777777777777772,13.85464465615646,-30.854857941884163,-32.65763336454794,0.008,0.002999999999999999,0.008,0.011,,
Bio CCS,Steel,1,79.56,0.0,79.56,79.56,79.56,79.56,79.56,True,Single data point - using narrow uniform distribution around 79.560,uniform,0.0,1.0,0.0,0.0,0.0,71.604,15.912000000000006,71.604,87.516,,
Biomass,Aluminum,1,1.3,0.0,1.3,1.3,1.3,1.3,1.3,True,Single data point - using narrow uniform distribution around 1.300,uniform,0.0,1.0,0.0,0.0,0.0,1.1700000000000002,0.26,1.1700000000000002,1.4300000000000002,,
Biomass,Cement,2,20.9185,6.394366622269951,20.9185,18.65775,23.17925,16.397,25.44,True,"Using uniform distribution (n=2, KS p=0.5000). Best AIC rejected: lognormal: Lognormal shape s=17.74 > 3.0",uniform,0.5,0.5,21.025850888870277,12.807963911033374,10.194258272153265,16.397,9.043000000000003,16.397,25.44,,
Biomass,Copper,4,0.49075,0.0367820155329567,0.4855,0.46675,0.5095000000000001,0.454,0.538,True,"Using gamma distribution (n=4, KS p=0.4942). Best AIC rejected: lognormal: Lognormal shape s=14.83 > 3.0",gamma,0.3825544161597233,0.4942165979494909,4.473833721252806,-41.50894996531264,-43.35006688195297,0.45399999999999996,0.04061777151608149,,,0.5103546856321559,
Biomass,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"Using gamma distribution (n=3, KS p=0.1227). Best AIC rejected: lognormal: Lognormal shape s=16.70 > 3.0",gamma,0.6160089310288113,0.12272314213534788,3.622948457621427,-56.56702618659896,-59.27118932059463,0.11199999999999999,0.023509946887400983,,,0.08870662441064983,
