Technology,Material,n,Distribution,Mean,Median,Std (observed),CV (observed),IQR,p2.5,p97.5,95% CI width (observed),Std (fitted),CV (fitted),95% CI width (fitted),CI width / mean,Inflation factor,Std (inflated),CV (inflated),95% CI width (inflated),Low-N (<5)
Bio CCS,Aluminum,1,single value,1300.0,1300.0,0.0,0.0,0.0,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
Bio CCS,Steel,1,single value,79560.0,79560.0,0.0,0.0,0.0,79560.0,79560.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
Biomass,Aluminum,1,single value,1300.0,1300.0,0.0,0.0,0.0,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
Biomass,Steel,1,single value,52000.0,52000.0,0.0,0.0,0.0,52000.0,52000.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
CIGS,Zinc,1,single value,121.0,121.0,0.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
CdTe,Chromium,1,single value,61.0,61.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
CdTe,Nickel,1,single value,16.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
CdTe,Tin,1,single value,6.6,6.6,0.0,0.0,0.0,6.6,6.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
Hydro,Aluminum,1,single value,52.0,52.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
Solar Distributed,Magnesium,1,single value,53.5,53.5,0.0,0.0,0.0,53.5,53.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
Solar Distributed,Tin,1,single value,577.0,577.0,0.0,0.0,0.0,577.0,577.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
a-Si,Cadmium,1,single value,6.61,6.61,0.0,0.0,0.0,6.61,6.61,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
a-Si,Chromium,1,single value,634.0,634.0,0.0,0.0,0.0,634.0,634.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
a-Si,Molybdenum,1,single value,10.62,10.62,0.0,0.0,0.0,10.62,10.62,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
a-Si,Nickel,1,single value,334.0,334.0,0.0,0.0,0.0,334.0,334.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
a-Si,Silicon,1,single value,150.0,150.0,0.0,0.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
a-Si,Tellurium,1,single value,7.8,7.8,0.0,0.0,0.0,7.8,7.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
offshore wind,Boron,1,single value,7.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
offshore wind,Molybdenum,1,single value,75.315,75.315,0.0,0.0,0.0,75.315,75.315,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
offshore wind,Niobium,1,single value,37.657,37.657,0.0,0.0,0.0,37.657,37.657,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
onshore wind,Niobium,1,single value,37.7,37.7,0.0,0.0,0.0,37.7,37.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
utility-scale solar pv,Magnesium,1,single value,53.5,53.5,0.0,0.0,0.0,53.5,53.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
utility-scale solar pv,Tin,1,single value,577.0,577.0,0.0,0.0,0.0,577.0,577.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Yes
ASIGE,Steel,2,lognormal,55950.0,55950.0,70.71067811865476,0.0012638190905925784,50.0,55902.5,55997.5,95.0,50.0000232925079,0.0008936554654603253,195.99647258139157,0.003503064746762842,2.5,125.00005823126975,0.0022341386636508132,489.99118145347893,Yes
