technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_s,param_loc,param_scale
Bio CCS,Aluminum,1,1.3,0.0,1.3,1.3,1.3,1.3,1.3,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 1.30)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,1.3
Bio CCS,Cement,2,32.005,9.783529424497072,32.005,28.546,35.464,25.087,38.923,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.222 → 0.881, median preserved: 32.01)",lognormal,0.34134474606854315,0.933249098925387,0.3592829820796126,19.38015786819462,15.459599409874455,0.7577901535924403,0,32.005
Bio CCS,Copper,3,0.5966666666666667,0.050083264004389054,0.6,0.5725,0.6225,0.545,0.645,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.069 → 0.881, median preserved: 0.60)",lognormal,0.23274803132810218,0.986149091932696,0.2547645985480691,-4.6404964743198,-7.344659608315471,0.7577901535924403,0,0.6
Bio CCS,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.254 → 0.881, median preserved: 0.12)",lognormal,0.35605039384627385,0.716307501780509,0.4215672264471464,-5.575781383846946,-8.279944517842617,0.7577901535924403,0,0.124
Bio CCS,Nickel,3,0.009666666666666667,0.0015275252316519464,0.01,0.009000000000000001,0.010499999999999999,0.008,0.011,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.134 → 0.881, median preserved: 0.01)",lognormal,0.29191500645886853,0.9056901246246456,0.31769770988294654,-25.457044942349498,-28.16120807634517,0.7577901535924403,0,0.01
Bio CCS,Steel,1,79.56,0.0,79.56,79.56,79.56,79.56,79.56,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 79.56)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,79.56
Biomass,Aluminum,1,1.3,0.0,1.3,1.3,1.3,1.3,1.3,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 1.30)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,1.3
Biomass,Cement,2,20.9185,6.394366622269951,20.9185,18.65775,23.17925,16.397,25.44,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.222 → 0.881, median preserved: 20.92)",lognormal,0.34134474606854315,0.933249098925387,0.3592829820796126,17.67902785015109,13.758469391830927,0.7577901535924403,0,20.9185
Biomass,Copper,4,0.49075,0.0367820155329567,0.4855,0.46675,0.5095000000000001,0.454,0.538,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.064 → 0.881, median preserved: 0.49)",lognormal,0.2279702560087043,0.9568303632430082,0.23907089088003275,-10.31581898408584,-12.156935900726168,0.7577901535924403,0,0.4855
Biomass,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.254 → 0.881, median preserved: 0.12)",lognormal,0.35605039384627385,0.716307501780509,0.4215672264471464,-5.575781383846946,-8.279944517842617,0.7577901535924403,0,0.124
Biomass,Nickel,3,0.009666666666666667,0.0015275252316519464,0.01,0.009000000000000001,0.010499999999999999,0.008,0.011,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.134 → 0.881, median preserved: 0.01)",lognormal,0.29191500645886853,0.9056901246246456,0.31769770988294654,-25.457044942349498,-28.16120807634517,0.7577901535924403,0,0.01
Biomass,Steel,1,52.0,0.0,52.0,52.0,52.0,52.0,52.0,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 52.00)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,52.0
CIGS,Aluminum,3,20.69333333333333,9.185642782806946,15.39,15.39,23.345,15.39,31.3,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.344 → 0.881, median preserved: 15.39)",lognormal,0.4269166055731902,0.5205417628221893,0.6192748362552574,25.767721276982734,23.063558142987063,0.7577901535924403,0,15.39
