Technology,Material,n,Reference material,Reference n,CV (observed),CV (inflation),CV (tech-ref),CV (HYBRID),Dominant method,Inflation factor,Ref available,Low-N (<5),Is reference
ASIGE,Aluminum,3,Cement,4,0.34424188669224065,0.6884837733844813,,0.6884837733844813,Inflation,2.0,False,True,False
ASIGE,Cement,4,Cement,4,0.2815312745016683,0.4222969117525025,,0.4222969117525025,Inflation,1.5,False,True,True
ASIGE,Copper,3,Cement,4,0.034415592603032265,0.06883118520606453,,0.06883118520606453,Inflation,2.0,False,True,False
ASIGE,Glass,3,Cement,4,0.11829068557329675,0.2365813711465935,,0.2365813711465935,Inflation,2.0,False,True,False
ASIGE,Steel,2,Cement,4,0.0008936554654603253,0.0022341386636508132,,0.0022341386636508132,Inflation,2.5,False,True,False
Bio CCS,Aluminum,1,Copper,3,0.0,0.0,,0.0,Both (tied),5.0,False,True,False
Bio CCS,Cement,2,Copper,3,0.2222927282944722,0.5557318207361804,,0.5557318207361804,Inflation,2.5,False,True,False
Bio CCS,Copper,3,Copper,3,0.06908642271798043,0.13817284543596087,,0.13817284543596087,Inflation,2.0,False,True,True
Bio CCS,Manganese,3,Copper,3,0.2544258844923164,0.5088517689846328,,0.5088517689846328,Inflation,2.0,False,True,False
Bio CCS,Nickel,3,Copper,3,0.13405046533592127,0.26810093067184254,,0.26810093067184254,Inflation,2.0,False,True,False
Bio CCS,Steel,1,Copper,3,0.0,0.0,,0.0,Both (tied),5.0,False,True,False
Biomass,Aluminum,1,Copper,4,0.0,0.0,,0.0,Both (tied),5.0,False,True,False
Biomass,Cement,2,Copper,4,0.22228691988502525,0.5557172997125631,,0.5557172997125631,Inflation,2.5,False,True,False
Biomass,Copper,4,Copper,4,0.064345852515116,0.09651877877267401,,0.09651877877267401,Inflation,1.5,False,True,True
Biomass,Manganese,3,Copper,4,0.2544258844923164,0.5088517689846328,,0.5088517689846328,Inflation,2.0,False,True,False
Biomass,Nickel,3,Copper,4,0.13405046533592127,0.26810093067184254,,0.26810093067184254,Inflation,2.0,False,True,False
Biomass,Steel,1,Copper,4,0.0,0.0,,0.0,Both (tied),5.0,False,True,False
CDTE,Aluminum,3,Cement,4,0.34424188669224065,0.6884837733844813,,0.6884837733844813,Inflation,2.0,False,True,False
CDTE,Cement,4,Cement,4,0.2815312745016683,0.4222969117525025,,0.4222969117525025,Inflation,1.5,False,True,True
CDTE,Copper,3,Cement,4,0.034415592603032265,0.06883118520606453,,0.06883118520606453,Inflation,2.0,False,True,False
CDTE,Glass,3,Cement,4,0.11829068557329675,0.2365813711465935,,0.2365813711465935,Inflation,2.0,False,True,False
CDTE,Steel,2,Cement,4,0.0008936554654603253,0.0022341386636508132,,0.0022341386636508132,Inflation,2.5,False,True,False
CIGS,Aluminum,3,Indium,76,0.34424188669224065,0.6884837733844813,2.3541529722293926,2.3541529722293926,Tech-ref,2.0,True,True,False
CIGS,Cadmium,3,Indium,76,23.1191852957516,46.2383705915032,23.1191852957516,46.2383705915032,Inflation,2.0,True,True,False
CIGS,Cement,4,Indium,76,0.2815312745016683,0.4222969117525025,2.3541529722293926,2.3541529722293926,Tech-ref,1.5,True,True,False
CIGS,Copper,13,Indium,76,12.591875856905338,14.529087527198465,12.591875856905338,14.529087527198465,Inflation,1.1538461538461537,True,False,False
CIGS,Gadium,3,Indium,76,0.8070424963359167,1.6140849926718335,2.3541529722293926,2.3541529722293926,Tech-ref,2.0,True,True,False
CIGS,Gallium,41,Indium,76,1.5175763750955686,1.5916044909538891,2.3541529722293926,2.3541529722293926,Tech-ref,1.048780487804878,True,False,False
CIGS,Glass,3,Indium,76,0.11829068557329675,0.2365813711465935,2.3541529722293926,2.3541529722293926,Tech-ref,2.0,True,True,False
CIGS,Indium,76,Indium,76,2.3541529722293926,2.4161043662354293,2.3541529722293926,2.4161043662354293,Inflation,1.0263157894736843,True,False,True
CIGS,Molybdenum,2,Indium,76,15.627778865416076,39.06944716354019,15.627778865416076,39.06944716354019,Inflation,2.5,True,True,False
CIGS,Selenium,36,Indium,76,0.8807899454084179,0.92972272015333,2.3541529722293926,2.3541529722293926,Tech-ref,1.0555555555555556,True,False,False
CIGS,Steel,2,Indium,76,0.0008936554654603253,0.0022341386636508132,2.3541529722293926,2.3541529722293926,Tech-ref,2.5,True,True,False
CIGS,Zinc,1,Indium,76,0.0,0.0,2.3541529722293926,2.3541529722293926,Tech-ref,5.0,True,True,False
CSP,Aluminum,2,Aluminum,2,1.4142135623730951,3.5355339059327378,,3.5355339059327378,Inflation,2.5,False,True,True
CSP,Cement,2,Aluminum,2,0.6878328234382127,1.719582058595532,,1.719582058595532,Inflation,2.5,False,True,False
CSP,Copper,2,Aluminum,2,0.43163878005285566,1.0790969501321392,,1.0790969501321392,Inflation,2.5,False,True,False
CSP,Glass,2,Aluminum,2,0.08367294148263267,0.20918235370658167,,0.20918235370658167,Inflation,2.5,False,True,False
CSP,Manganese,2,Aluminum,2,0.5616967327842207,1.4042418319605519,,1.4042418319605519,Inflation,2.5,False,True,False
CSP,Nickel,2,Aluminum,2,0.3630418284106875,0.9076045710267188,,0.9076045710267188,Inflation,2.5,False,True,False
CSP,Silver,2,Aluminum,2,0.10410006740319978,0.2602501685079995,,0.2602501685079995,Inflation,2.5,False,True,False
CSP,Steel,2,Aluminum,2,0.25963549100012984,0.6490887275003245,,0.6490887275003245,Inflation,2.5,False,True,False
CdTe,Cadmium,40,Tellurium,55,0.8389457649908545,0.8808930532403972,0.8389457649908545,0.8808930532403972,Inflation,1.05,True,False,False
CdTe,Chromium,1,Tellurium,55,0.0,0.0,0.7699532819549778,0.7699532819549778,Tech-ref,5.0,True,True,False
CdTe,Copper,6,Tellurium,55,3.9953921123381044,4.7944705348057255,3.9953921123381044,4.7944705348057255,Inflation,1.2,True,False,False
CdTe,Indium,3,Tellurium,55,0.012011389193855722,0.024022778387711444,0.7699532819549778,0.7699532819549778,Tech-ref,2.0,True,True,False
CdTe,Lead,2,Tellurium,55,0.012659411149615166,0.031648527874037914,0.7699532819549778,0.7699532819549778,Tech-ref,2.5,True,True,False
CdTe,Molybdenum,3,Tellurium,55,23.87190789020941,47.74381578041882,23.87190789020941,47.74381578041882,Inflation,2.0,True,True,False
CdTe,Nickel,1,Tellurium,55,0.0,0.0,0.7699532819549778,0.7699532819549778,Tech-ref,5.0,True,True,False
CdTe,Tellurium,55,Tellurium,55,0.7699532819549778,0.797951583116977,0.7699532819549778,0.797951583116977,Inflation,1.0363636363636364,True,False,True
CdTe,Tin,1,Tellurium,55,0.0,0.0,0.7699532819549778,0.7699532819549778,Tech-ref,5.0,True,True,False
Coal,Aluminum,4,Cement,12,0.36601813083138324,0.5490271962470749,0.5502582764643633,0.5502582764643633,Tech-ref,1.5,True,True,False
Coal,Cement,12,Cement,12,0.5502582764643633,0.6419679892084239,0.5502582764643633,0.6419679892084239,Inflation,1.1666666666666667,True,False,True
Coal,Copper,4,Cement,12,0.064345852515116,0.09651877877267401,0.5502582764643633,0.5502582764643633,Tech-ref,1.5,True,True,False
Coal,Manganese,3,Cement,12,0.2544258844923164,0.5088517689846328,0.5502582764643633,0.5502582764643633,Tech-ref,2.0,True,True,False
Coal,Nickel,3,Cement,12,0.13405046533592127,0.26810093067184254,0.5502582764643633,0.5502582764643633,Tech-ref,2.0,True,True,False
Coal,Steel,3,Cement,12,0.1385044633409044,0.2770089266818088,0.5502582764643633,0.5502582764643633,Tech-ref,2.0,True,True,False
Coal CCS,Aluminum,4,Cement,12,0.36601813083138324,0.5490271962470749,0.5756557435547358,0.5756557435547358,Tech-ref,1.5,True,True,False
Coal CCS,Cement,12,Cement,12,0.5756557435547358,0.6715983674805251,0.5756557435547358,0.6715983674805251,Inflation,1.1666666666666667,True,False,True
Coal CCS,Copper,4,Cement,12,0.06395080465043305,0.09592620697564957,0.5756557435547358,0.5756557435547358,Tech-ref,1.5,True,True,False
Coal CCS,Manganese,3,Cement,12,0.2544258844923164,0.5088517689846328,0.5756557435547358,0.5756557435547358,Tech-ref,2.0,True,True,False
Coal CCS,Nickel,3,Cement,12,0.13405046533592127,0.26810093067184254,0.5756557435547358,0.5756557435547358,Tech-ref,2.0,True,True,False
Coal CCS,Steel,4,Cement,12,0.1652245900343436,0.24783688505151538,0.5756557435547358,0.5756557435547358,Tech-ref,1.5,True,True,False
Gas,Aluminum,2,Cement,4,0.060033643086683526,0.15008410771670883,,0.15008410771670883,Inflation,2.5,False,True,False
Gas,Cement,4,Cement,4,0.2755415057134112,0.4133122585701168,,0.4133122585701168,Inflation,1.5,False,True,True
Gas,Copper,4,Cement,4,0.064345852515116,0.09651877877267401,,0.09651877877267401,Inflation,1.5,False,True,False
Gas,Manganese,3,Cement,4,0.2544258844923164,0.5088517689846328,,0.5088517689846328,Inflation,2.0,False,True,False
Gas,Nickel,3,Cement,4,0.13405046533592127,0.26810093067184254,,0.26810093067184254,Inflation,2.0,False,True,False
Gas,Steel,2,Cement,4,0.25365210852552045,0.6341302713138011,,0.6341302713138011,Inflation,2.5,False,True,False
Gas CCS,Aluminum,2,Cement,4,0.060033643086683526,0.15008410771670883,,0.15008410771670883,Inflation,2.5,False,True,False
Gas CCS,Cement,4,Cement,4,0.41170370790481037,0.6175555618572155,,0.6175555618572155,Inflation,1.5,False,True,True
Gas CCS,Copper,4,Cement,4,0.06395080465043305,0.09592620697564957,,0.09592620697564957,Inflation,1.5,False,True,False
Gas CCS,Manganese,3,Cement,4,0.2544258844923164,0.5088517689846328,,0.5088517689846328,Inflation,2.0,False,True,False
Gas CCS,Nickel,3,Cement,4,0.13405046533592127,0.26810093067184254,,0.26810093067184254,Inflation,2.0,False,True,False
Gas CCS,Steel,2,Cement,4,0.2536516747238517,0.6341291868096293,,0.6341291868096293,Inflation,2.5,False,True,False
Geothermal,Aluminum,7,Cement,8,2.286037438272914,2.7432449259274967,,2.7432449259274967,Inflation,1.2,False,False,False
Geothermal,Cement,8,Cement,8,1.10496995384201,1.325963944610412,,1.325963944610412,Inflation,1.2,False,False,True
Geothermal,Copper,3,Cement,8,2.537899545315601,5.075799090631202,,5.075799090631202,Inflation,2.0,False,True,False
Geothermal,Steel,8,Cement,8,1.1278190222849698,1.3533828267419636,,1.3533828267419636,Inflation,1.2,False,False,False
Hydro,Aluminum,1,Cement,8,0.0,0.0,,0.0,Both (tied),5.0,False,True,False
Hydro,Cement,8,Cement,8,0.3204722484228983,0.38456669810747796,,0.38456669810747796,Inflation,1.2,False,False,True
Hydro,Copper,3,Cement,8,0.452145208490175,0.90429041698035,,0.90429041698035,Inflation,2.0,False,True,False
Hydro,Steel,4,Cement,8,0.8043409803009617,1.2065114704514426,,1.2065114704514426,Inflation,1.5,False,True,False
NGCC,Aluminum,2,Cement,4,0.060033643086683526,0.15008410771670883,,0.15008410771670883,Inflation,2.5,False,True,False
NGCC,Cement,4,Cement,4,0.2755415057134112,0.4133122585701168,,0.4133122585701168,Inflation,1.5,False,True,True
NGCC,Copper,4,Cement,4,0.064345852515116,0.09651877877267401,,0.09651877877267401,Inflation,1.5,False,True,False
NGCC,Manganese,3,Cement,4,0.2544258844923164,0.5088517689846328,,0.5088517689846328,Inflation,2.0,False,True,False
NGCC,Nickel,3,Cement,4,0.13405046533592127,0.26810093067184254,,0.26810093067184254,Inflation,2.0,False,True,False
NGCC,Steel,2,Cement,4,0.25365210852552045,0.6341302713138011,,0.6341302713138011,Inflation,2.5,False,True,False
NGGT,Aluminum,2,Cement,4,0.060033643086683526,0.15008410771670883,,0.15008410771670883,Inflation,2.5,False,True,False
NGGT,Cement,4,Cement,4,0.2755415057134112,0.4133122585701168,,0.4133122585701168,Inflation,1.5,False,True,True
NGGT,Copper,4,Cement,4,0.064345852515116,0.09651877877267401,,0.09651877877267401,Inflation,1.5,False,True,False
NGGT,Manganese,3,Cement,4,0.2544258844923164,0.5088517689846328,,0.5088517689846328,Inflation,2.0,False,True,False
NGGT,Nickel,3,Cement,4,0.13405046533592127,0.26810093067184254,,0.26810093067184254,Inflation,2.0,False,True,False
NGGT,Steel,2,Cement,4,0.25365210852552045,0.6341302713138011,,0.6341302713138011,Inflation,2.5,False,True,False
Nuclear New,Aluminum,4,Cement,9,0.436116421131402,0.654174631697103,,0.654174631697103,Inflation,1.5,False,True,False
Nuclear New,Cement,9,Cement,9,0.4249761034549537,0.5099713241459444,,0.5099713241459444,Inflation,1.2,False,False,True
Nuclear New,Copper,5,Cement,9,0.37215648775388327,0.5582347316308249,,0.5582347316308249,Inflation,1.5,False,False,False
Nuclear New,Manganese,4,Cement,9,0.3147566639452481,0.4721349959178721,,0.4721349959178721,Inflation,1.5,False,True,False
Nuclear New,Nickel,5,Cement,9,1.0551414889329518,1.5827122333994277,,1.5827122333994277,Inflation,1.5,False,False,False
Nuclear New,Silver,3,Cement,9,0.0,0.0,,0.0,Both (tied),2.0,False,True,False
Nuclear New,Steel,6,Cement,9,0.9041402642867732,1.0849683171441278,,1.0849683171441278,Inflation,1.2,False,False,False
Solar Distributed,Aluminum,4,Silver,30,0.46927376117817243,0.7039106417672587,0.9035768822638006,0.9035768822638006,Tech-ref,1.5,True,True,False
Solar Distributed,Cement,6,Silver,30,0.2701236195930867,0.324148343511704,0.9035768822638006,0.9035768822638006,Tech-ref,1.2,True,False,False
Solar Distributed,Copper,11,Silver,30,1.8044421254725196,2.1325225119220685,1.8044421254725196,2.1325225119220685,Inflation,1.1818181818181819,True,False,False
Solar Distributed,Glass,3,Silver,30,0.11829068557329675,0.2365813711465935,0.9035768822638006,0.9035768822638006,Tech-ref,2.0,True,True,False
Solar Distributed,Lead,6,Silver,30,3.1266747391090144,3.7520096869308173,3.1266747391090144,3.7520096869308173,Inflation,1.2,True,False,False
Solar Distributed,Magnesium,1,Silver,30,0.0,0.0,0.9035768822638006,0.9035768822638006,Tech-ref,5.0,True,True,False
Solar Distributed,Nickel,5,Silver,30,0.11862110291474368,0.1779316543721155,0.9035768822638006,0.9035768822638006,Tech-ref,1.5,True,False,False
Solar Distributed,Silicon,15,Silver,30,5.411363792114198,6.132878964396091,5.411363792114198,6.132878964396091,Inflation,1.1333333333333333,True,False,False
Solar Distributed,Silver,30,Silver,30,0.9035768822638006,0.9638153410813873,0.9035768822638006,0.9638153410813873,Inflation,1.0666666666666667,True,False,True
Solar Distributed,Steel,2,Silver,30,0.0008936554654603253,0.0022341386636508132,0.9035768822638006,0.9035768822638006,Tech-ref,2.5,True,True,False
Solar Distributed,Tin,1,Silver,30,0.0,0.0,0.9035768822638006,0.9035768822638006,Tech-ref,5.0,True,True,False
a-Si,Cadmium,1,Germanium,16,0.0,0.0,1.2052995067850287,1.2052995067850287,Tech-ref,5.0,True,True,False
a-Si,Chromium,1,Germanium,16,0.0,0.0,1.2052995067850287,1.2052995067850287,Tech-ref,5.0,True,True,False
a-Si,Copper,2,Germanium,16,1.6625194854514376,4.156298713628594,1.6625194854514376,4.156298713628594,Inflation,2.5,True,True,False
a-Si,Germanium,16,Germanium,16,1.2052995067850287,1.3559619451331573,1.2052995067850287,1.3559619451331573,Inflation,1.125,True,False,True
a-Si,Indium,4,Germanium,16,0.4814498127053013,0.7221747190579519,1.2052995067850287,1.2052995067850287,Tech-ref,1.5,True,True,False
a-Si,Molybdenum,1,Germanium,16,0.0,0.0,1.2052995067850287,1.2052995067850287,Tech-ref,5.0,True,True,False
a-Si,Nickel,1,Germanium,16,0.0,0.0,1.2052995067850287,1.2052995067850287,Tech-ref,5.0,True,True,False
a-Si,Silicon,1,Germanium,16,0.0,0.0,1.2052995067850287,1.2052995067850287,Tech-ref,5.0,True,True,False
a-Si,Tellurium,1,Germanium,16,0.0,0.0,1.2052995067850287,1.2052995067850287,Tech-ref,5.0,True,True,False
a-Si,Tin,2,Germanium,16,33.527798796718244,83.8194969917956,33.527798796718244,83.8194969917956,Inflation,2.5,True,True,False
offshore wind,Aluminum,20,Copper,49,1.3362973963080897,1.4699271359388988,1.3362973963080897,1.4699271359388988,Inflation,1.1,True,False,False
offshore wind,Boron,1,Copper,49,0.0,0.0,1.0295290340457415,1.0295290340457415,Tech-ref,5.0,True,True,False
