material_1,material_2,correlation
Gadium,Indium,1.0000000000000007
Gadium,Gallium,1.0000000000000002
Cadmium,Gadium,1.0000000000000002
Gadium,Tellurium,1.0000000000000002
Cadmium,Indium,1.0
Indium,Tellurium,1.0
Gallium,Indium,1.0
Cadmium,Selenium,0.9999999999999999
Selenium,Tellurium,0.9999999999999998
Indium,Selenium,0.9999999999999998
Gallium,Selenium,0.9999999999999998
Gadium,Selenium,0.9999999999999998
Gallium,Tellurium,0.9999999999999997
Cadmium,Gallium,0.9999999999999997
Cadmium,Tellurium,0.9999999999999997
Niobium,Terbium,0.999999990843752
Silicon,Tin,0.9999999903814588
Fiberglass,Niobium,0.9999999427919457
Magnesium,Silicon,0.9999999375696541
Fiberglass,Terbium,0.9999998878618569
Magnesium,Tin,0.9999998789413663
Yttrium,Zinc,0.9999985612227926
Lead,Neodymium,0.9999979301131324
Fiberglass,Neodymium,0.9999845383246718
Neodymium,Niobium,0.9999826001331902
Neodymium,Terbium,0.9999817926886457
Fiberglass,Lead,0.9999811070557576
Lead,Niobium,0.9999790860578479
Lead,Terbium,0.9999782454854899
Magnesium,Silver,0.9999620848934949
Silicon,Silver,0.999961209191309
Silver,Tin,0.9999608313425931
Chromium,Lead,0.9999543193807214
Chromium,Neodymium,0.9999385282538217
Chromium,Fiberglass,0.9998807726347081
Chromium,Niobium,0.9998762618999324
Chromium,Terbium,0.9998744252751146
Chromium,Zinc,0.9998584420408125
Chromium,Yttrium,0.9998460143194171
Lead,Zinc,0.9997368969054617
Lead,Yttrium,0.9997347054336009
Neodymium,Yttrium,0.9997310975954595
Neodymium,Zinc,0.999729928124159
Glass,Silver,0.9997214793926583
Glass,Tin,0.999711933127648
Glass,Silicon,0.9997094938341397
Glass,Magnesium,0.9997031924080214
Dysprosium,Terbium,0.999598756624357
Dysprosium,Niobium,0.9995949143806478
Fiberglass,Yttrium,0.9995866890711396
Fiberglass,Zinc,0.9995855842742686
Dysprosium,Fiberglass,0.9995852302615476
Niobium,Yttrium,0.9995769077256849
Niobium,Zinc,0.9995758068639187
Terbium,Yttrium,0.9995729625253453
Terbium,Zinc,0.9995718632379107
Dysprosium,Praseodymium,0.9994613383789483
Dysprosium,Neodymium,0.9994096293718095
Dysprosium,Lead,0.9993991494307138
Boron,Praseodymium,0.9993272144755854
Manganese,Nickel,0.9992711963243873
Chromium,Dysprosium,0.9990868817623677
Aluminum,Silver,0.9990571782812386
Aluminum,Magnesium,0.9988869317319585
Aluminum,Silicon,0.9988846009723845
Aluminum,Tin,0.9988836520279233
Aluminum,Glass,0.9987368722049259
Dysprosium,Yttrium,0.9983441828083484
Dysprosium,Zinc,0.9983434134962426
