material,min_demand,max_demand,mean_demand,range,range_pct
Cement,24274552.562803704,110964071.53313503,51156580.53372821,86689518.97033133,169.45917429562317
Nickel,82393.81423051094,399515.76515087177,192292.477466371,317121.95092036086,164.91646220316684
Manganese,244762.73216243638,1134101.8309476112,545132.4791497084,889339.0987851749,163.14182933520237
Yttrium,318.13475498123245,1589.2643182925676,787.8407072802141,1271.1295633113352,161.3434735683476
Zinc,1437656.9859315346,7166510.340661588,3555914.640282611,5728853.354730054,161.10772991656364
Chromium,167036.4003026592,779622.485639574,391456.00116732076,612586.0853369148,156.4891286658487
Neodymium,47394.3806881657,217352.02223938995,109117.43501495509,169957.64155122425,155.75663185991377
Lead,2014758.1811796827,9222341.115971243,4635238.812099819,7207582.93479156,155.49539574912296
Fiberglass,2611569.295089877,11755904.830327239,5918809.224690968,9144335.53523736,154.4962033425702
Niobium,11621.570737598946,52256.092791878415,26314.208690404226,40634.52205427947,154.4204598069381
Terbium,1883.5422820841027,8465.542128126903,4263.22422554705,6581.9998460428,154.39018681214705
Dysprosium,3156.5118155684527,13027.321873600667,6651.509419732889,9870.810058032215,148.39955016448894
Molybdenum,35530.597854897045,151911.26805172977,79103.29099829156,116380.67019683273,147.1249409829817
Praseodymium,4084.685518574958,15512.471888853315,8035.357055612376,11427.786370278358,142.21877498643954
Boron,727.2286623755564,2554.2470325709387,1342.357315213595,1827.0183701953824,136.10521948879673
Copper,2006983.3917121827,7224185.268037699,3898731.5851356694,5217201.876325516,133.81792930338307
Steel,82680676.81829326,277602510.2617548,146907237.18852022,194921833.44346154,132.6836153029861
Gadium,405.4155074065507,1330.0699323266176,763.4402378551316,924.654424920067,121.11680509765415
Selenium,3742.072027410558,12276.83055366734,7046.7170260769135,8534.75852625678,121.11680509765408
Cadmium,5028.390037629799,16496.927904524546,9468.989755507417,11468.537866894747,121.11680509765405
Tellurium,5835.652868661757,19145.36142377754,10989.150964132874,13309.708555115783,121.11680509765405
Indium,2635.648252700355,8646.922549981582,4963.204150270029,6011.274297281227,121.11680509765404
Gallium,613.5507817444931,2012.9112770604766,1155.3809516257531,1399.3604953159834,121.116805097654
Aluminum,7433259.373103946,22266348.029345557,13370172.85152047,14833088.65624161,110.94163718724681
Glass,24537558.64026594,72928547.93006076,44069053.89395377,48390989.28979482,109.80718897719292
Silver,14898.904625482142,43530.94964251546,26518.43229898856,28632.045017033313,107.97035320268675
Tin,194776.09874972288,568159.7242996038,346158.2412800165,373383.62554988096,107.86501114900256
Silicon,1611449.3376943788,4700095.631717172,2863744.654060318,3088646.294022794,107.85341107991601
Magnesium,18008.50442172429,52511.41593625851,31999.32671838752,34502.91151453422,107.82386710251653
Vanadium,361639.029736313,727386.1281888311,436771.23127092957,365747.09845251817,83.73882533157156
Germanium,0.0,0.0,0.0,0.0,
