material,technology,S1,S1_conf,ST,ST_conf,coefficient,n_params,n_evaluations,analytical
Aluminum,utility-scale solar pv,0.9693660129238397,0.06737454476694772,0.9651470923839616,0.06042363183873141,41764359.32999998,19,21504,False
Aluminum,onshore wind,0.035801968869956215,0.01718168459561576,0.03374018982330027,0.002982483463494615,39276367.800000004,19,21504,False
Aluminum,Solar Distributed,0.008772106490978928,0.007889381120584009,0.008770356231992528,0.000770195512026357,4000044.3999999957,19,21504,False
Aluminum,offshore wind,0.0006429849394328935,0.0022868793873102623,0.0006259523271603943,4.810773370020246e-05,3300259.0999999987,19,21504,False
Aluminum,CdTe,0.0005790456720724565,0.0019984452759858867,0.0005647563824745283,4.71089002660733e-05,3248339.058999999,19,21504,False
Aluminum,Geothermal,0.00011816058738253272,0.0009094904567753671,0.00012771526107216232,1.0010630213236344e-05,433939.00000000047,19,21504,False
Aluminum,CIGS,0.0001026586689092924,0.0008002846053429466,0.00010371770600462581,8.087554984413663e-06,1392145.311000001,19,21504,False
Aluminum,Coal CCS,4.9012228237824024e-08,1.2430769711552589e-05,2.0285945121576548e-08,1.6525524941658108e-09,534664.8999999999,19,21504,False
Aluminum,CSP,3.001746947787367e-08,1.5664737200174293e-05,3.2406504462447644e-08,2.861112312832826e-09,33994.30000000001,19,21504,False
Aluminum,Gas CCS,5.744275304419163e-09,2.5587598027906337e-06,1.0411016799750085e-09,8.510918617549287e-11,2577920.899999998,19,21504,False
Aluminum,NGGT,5.133200777691329e-09,5.850855078885897e-06,4.0903999670322e-09,3.53980391418712e-10,5109209.6000000015,19,21504,False
Aluminum,NGCC,4.367449560264254e-09,5.649758942052067e-06,4.143576290749877e-09,3.38489661851472e-10,5142680.699999998,19,21504,False
Aluminum,Coal,1.2551000198736042e-18,3.181074766407344e-17,1.2019225253127537e-31,1.4345923441849786e-32,0.0,19,21504,False
Aluminum,Bio CCS,0.0,3.043735248246958e-06,1.1420788102726308e-09,9.497080735942699e-11,270022.29999999993,19,21504,False
Aluminum,Biomass,0.0,2.5613792574513422e-17,6.910606369707537e-32,9.7962072962007e-33,0.0,19,21504,False
Aluminum,Gas,0.0,2.559960269429053e-17,8.052874456311466e-32,1.1450995029144505e-32,0.0,19,21504,False
Aluminum,Hydro,0.0,1.5498044638537866e-07,3.5164522807856887e-12,3.1694348696219397e-13,374536.5999999999,19,21504,False
Aluminum,Nuclear New,0.0,2.3805338222228548e-06,7.522201280515623e-10,5.921281225945824e-11,1582396.8,19,21504,False
Aluminum,a-Si,0.0,2.817875782039695e-17,1.0761024091763706e-31,1.2835335613223162e-32,0.0,19,21504,False
Boron,onshore wind,0.9993256987114268,0.06894118614271136,0.9993263333985609,0.05960165425738218,39276367.800000004,2,4096,False
Boron,offshore wind,0.0004928183371398539,0.002184418027544065,0.000492437524859387,4.1480195456445275e-05,3300259.0999999987,2,4096,False
Cadmium,CdTe,1.0000141283346184,0.07763986333074717,1.0000141706227752,0.0625396116257662,3248339.058999999,3,5120,False
Cadmium,CIGS,1.1979624237600978e-07,2.8501918340344724e-05,1.0324870284067593e-07,9.335551386686243e-09,1392145.311000001,3,5120,False
Cadmium,a-Si,0.0,0.0,0.0,0.0,0.0,3,5120,False
Cement,onshore wind,0.5653223054480432,0.054504511803889884,0.5652632905996811,0.04633083335238207,39276367.800000004,19,21504,False
Cement,Geothermal,0.21625453755230717,0.040236932434824214,0.21743510079487138,0.01621280961469736,433939.00000000047,19,21504,False
