material,year,within_var,between_var,total_var,within_pct,between_pct,mean_demand
Aluminum,2029,323951879069.97107,373486994475.97296,697438873545.9441,46.44878445374333,53.551215546256664,1883994.747458531
Aluminum,2032,426416048998.56415,175662743863.7349,602078792862.2991,70.82396092567396,29.176039074326038,2306506.0738988705
Aluminum,2035,641267269436.1898,1275327201202.5815,1916594470638.7715,33.458683057896195,66.5413169421038,2398923.7486148253
Aluminum,2038,140417234332.50742,130880806659.54189,271298040992.04932,51.75755557211064,48.24244442788936,1231683.797263136
Aluminum,2041,173558663640.94653,335871184201.3936,509429847842.34015,34.069198021286724,65.93080197871328,1288884.928045765
Aluminum,2044,214345747303.06238,388753211902.35004,603098959205.4124,35.54072578494657,64.45927421505344,1440098.0996155522
Aluminum,2047,234527419207.9501,515713176621.30035,750240595829.2505,31.260294432444564,68.73970556755543,1455178.4685359104
Aluminum,2050,196393813911.21454,427601148234.48737,623994962145.7019,31.47362171577226,68.52637828422773,1364902.988087884
Boron,2029,3132.735401369004,737.803530883264,3870.5389322522683,80.93796383921307,19.06203616078694,164.4540750557887
Boron,2032,12569.215703769229,4804.614141352175,17373.829845121403,72.34568207365449,27.65431792634551,376.48403030817263
Boron,2035,18589.887362026053,21488.406048466186,40078.29341049224,46.38392950424217,53.61607049575784,311.9922649292277
Boron,2038,2836.7458243405476,2282.994154248588,5119.739978589136,55.40800580115163,44.59199419884837,159.79195703608457
Boron,2041,2074.649156771067,2728.9553928468717,4803.604549617939,43.189424427872126,56.81057557212788,112.19339216667349
Boron,2044,1876.7134875963072,3466.1987942366522,5342.91228183296,35.12529101362066,64.87470898637933,95.53290945680973
Boron,2047,1601.5235365810927,3119.184244048905,4720.707780629998,33.92549615446357,66.07450384553643,71.41137399645396
Boron,2050,880.5064402901958,2087.9432160533893,2968.449656343585,29.662165177992865,70.33783482200712,50.49731226438503
Cadmium,2029,740310.3738152805,229687.1207640933,969997.4945793739,76.32085422409322,23.67914577590677,1328.2854427596292
Cadmium,2032,894339.4955033972,115961.6329860176,1010301.1284894148,88.52207230933202,11.477927690667977,1513.373075743253
Cadmium,2035,1387929.7465473597,629005.7176892671,2016935.4642366269,68.81379058266823,31.186209417331767,1764.2680115779021
Cadmium,2038,310198.5159823514,71932.40729593807,382130.92327828944,81.1759784633936,18.824021536606395,873.607570610435
Cadmium,2041,394272.91702872416,224646.96030830793,618919.8773370321,63.7033857637801,36.296614236219895,915.9728774164217
Cadmium,2044,492539.0700790172,259927.08068993696,752466.1507689542,65.45664141512354,34.54335858487646,1033.6755201967046
Cadmium,2047,544465.1549907301,337831.27618545585,882296.431176186,61.71000309554758,38.28999690445243,1063.6996952943007
Cadmium,2050,455685.96668259084,276826.67330513115,732512.639987722,62.208614815196746,37.791385184803254,976.1075619087708
Cement,2029,694195760519.151,1539366705233.452,2233562465752.603,31.080203538665774,68.91979646133422,5909457.485846915
Cement,2032,3343157742271.119,8260320645393.721,11603478387664.84,28.811685863310498,71.18831413668951,12805590.759145033
Cement,2035,4508383075829.674,53906487675272.555,58414870751102.23,7.717868785568793,92.2821312144312,11584593.63851614
Cement,2038,935178419948.1216,7950496187638.219,8885674607586.34,10.524562976340507,89.4754370236595,5158173.420213762
Cement,2041,916262462127.1807,5347389700178.718,6263652162305.898,14.628246243320577,85.37175375667942,4574892.304031929
Cement,2044,1028309101791.0686,5929804259796.442,6958113361587.511,14.778562066376816,85.22143793362319,4449354.422161423
Cement,2047,610686811569.1251,5751716263042.259,6362403074611.384,9.59836722709408,90.40163277290593,3803623.7248879555
Cement,2050,454237112747.4391,3725146386114.7427,4179383498862.1816,10.868519552491488,89.13148044750851,2870894.7789250477
Chromium,2029,225172014.41496983,92575318.37471311,317747332.7896829,70.8651155111383,29.134884488861704,47273.388018858765
Chromium,2032,899960945.0305909,708199115.2339152,1608160060.264506,55.96214999162257,44.037850008377426,93898.89145553186
Chromium,2035,1339350972.362982,3186048905.2333636,4525399877.596346,29.596301069296327,70.40369893070367,99022.76682513673
Chromium,2038,203588388.56943563,342159953.4686502,545748342.0380858,37.304444720645236,62.695555279354764,42001.08955402159
Chromium,2041,149308157.78364167,347501324.1044358,496809481.8880775,30.053403412553664,69.94659658744634,33892.22018717389
Chromium,2044,134959032.0416181,367624809.3782641,502583841.41988224,26.853038422472277,73.14696157752773,31001.275076061793
Chromium,2047,115476815.72827315,438292697.4264663,553769513.1547394,20.852866216924724,79.14713378307529,26096.596260000817
Chromium,2050,63482832.532653876,289217824.03966254,352700656.5723164,17.999068430891224,82.00093156910879,18269.773790535233
Copper,2029,63166861408.35944,12846688567.243643,76013549975.60309,83.099475591698,16.900524408302005,486803.5368181984
Copper,2032,214860525726.7859,30213826817.40377,245074352544.18967,87.67156721878685,12.328432781213152,877717.6231910489
Copper,2035,306101655942.0279,206179905070.12033,512281561012.1482,59.752620285071906,40.247379714928094,865703.2004069379
Copper,2038,50027573559.492,21114596820.85868,71142170380.35068,70.3205613379902,29.679438662009797,403097.0851895017
Copper,2041,39554637211.9068,27838671621.011997,67393308832.91879,58.6922320581862,41.3077679418138,354378.02335001016
Copper,2044,38925937942.4261,27699855469.585323,66625793412.01143,58.42472704483915,41.57527295516084,344095.37486539676
Copper,2047,35289414983.850815,32497246112.087513,67786661095.938324,52.0595267760803,47.94047322391972,310315.61336984683
Copper,2050,22773387192.620457,23079653916.56054,45853041109.181,49.66603444773616,50.33396555226383,256621.1279447301
Dysprosium,2029,729325.0739567489,22324.34826122683,751649.4222179757,97.02995204927427,2.970047950725737,806.8529777998659
Dysprosium,2032,2934199.6361397756,168179.22683069433,3102378.86297047,94.57902357323097,5.420976426769033,1715.8857965176435
Dysprosium,2035,4323257.9635753995,748257.8422085645,5071515.805783964,85.24587380058658,14.754126199413424,1629.0677351662328
Dysprosium,2038,661212.7198459306,79999.67119876645,741212.391044697,89.20691664557692,10.793083354423072,747.9353290521556
Dysprosium,2041,482782.89304425963,84219.75323131398,567002.6462755736,85.14649732509685,14.85350267490315,566.6958343851683
