Technology,Material,n,CV (observed),CV (reference),CV (adjusted),Adjustment ratio,Is reference,Low-N (<5)
ASIGE,Aluminum,3,0.34424188669224065,0.2815312745016683,0.34424188669224065,1.0,False,True
ASIGE,Cement,4,0.2815312745016683,0.2815312745016683,0.2815312745016683,1.0,True,True
ASIGE,Copper,3,0.034415592603032265,0.2815312745016683,0.2815312745016683,8.180340746968959,False,True
ASIGE,Glass,3,0.11829068557329675,0.2815312745016683,0.2815312745016683,2.3799952898846155,False,True
ASIGE,Steel,2,0.0008936554654603253,0.2815312745016683,0.2815312745016683,315.03334940904824,False,True
Bio CCS,Aluminum,1,0.0,0.06908642271798043,0.06908642271798043,inf,False,True
Bio CCS,Cement,2,0.2222927282944722,0.06908642271798043,0.2222927282944722,1.0,False,True
Bio CCS,Copper,3,0.06908642271798043,0.06908642271798043,0.06908642271798043,1.0,True,True
Bio CCS,Manganese,3,0.2544258844923164,0.06908642271798043,0.2544258844923164,1.0,False,True
Bio CCS,Nickel,3,0.13405046533592127,0.06908642271798043,0.13405046533592127,1.0,False,True
Bio CCS,Steel,1,0.0,0.06908642271798043,0.06908642271798043,inf,False,True
Biomass,Aluminum,1,0.0,0.064345852515116,0.064345852515116,inf,False,True
Biomass,Cement,2,0.22228691988502525,0.064345852515116,0.22228691988502525,1.0,False,True
Biomass,Copper,4,0.064345852515116,0.064345852515116,0.064345852515116,1.0,True,True
Biomass,Manganese,3,0.2544258844923164,0.064345852515116,0.2544258844923164,1.0,False,True
Biomass,Nickel,3,0.13405046533592127,0.064345852515116,0.13405046533592127,1.0,False,True
Biomass,Steel,1,0.0,0.064345852515116,0.064345852515116,inf,False,True
CDTE,Aluminum,3,0.34424188669224065,0.2815312745016683,0.34424188669224065,1.0,False,True
CDTE,Cement,4,0.2815312745016683,0.2815312745016683,0.2815312745016683,1.0,True,True
CDTE,Copper,3,0.034415592603032265,0.2815312745016683,0.2815312745016683,8.180340746968959,False,True
CDTE,Glass,3,0.11829068557329675,0.2815312745016683,0.2815312745016683,2.3799952898846155,False,True
CDTE,Steel,2,0.0008936554654603253,0.2815312745016683,0.2815312745016683,315.03334940904824,False,True
CIGS,Aluminum,3,0.34424188669224065,2.3541529722293926,2.3541529722293926,6.8386592777829325,False,True
CIGS,Cadmium,3,23.1191852957516,2.3541529722293926,23.1191852957516,1.0,False,True
CIGS,Cement,4,0.2815312745016683,2.3541529722293926,2.3541529722293926,8.361958991577122,False,True
CIGS,Copper,13,12.591875856905338,2.3541529722293926,12.591875856905338,1.0,False,False
CIGS,Gadium,3,0.8070424963359167,2.3541529722293926,2.3541529722293926,2.9170124038295,False,True
CIGS,Gallium,41,1.5175763750955686,2.3541529722293926,2.3541529722293926,1.551258316129981,False,False
CIGS,Glass,3,0.11829068557329675,2.3541529722293926,2.3541529722293926,19.901423014161864,False,True
CIGS,Indium,76,2.3541529722293926,2.3541529722293926,2.3541529722293926,1.0,True,False
CIGS,Molybdenum,2,15.627778865416076,2.3541529722293926,15.627778865416076,1.0,False,True
CIGS,Selenium,36,0.8807899454084179,2.3541529722293926,2.3541529722293926,2.6727745752567413,False,False
CIGS,Steel,2,0.0008936554654603253,2.3541529722293926,2.3541529722293926,2634.295948737649,False,True
CIGS,Zinc,1,0.0,2.3541529722293926,2.3541529722293926,inf,False,True
CSP,Aluminum,2,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,True,True
CSP,Cement,2,0.6878328234382127,1.4142135623730951,1.4142135623730951,2.0560425646801552,False,True
CSP,Copper,2,0.43163878005285566,1.4142135623730951,1.4142135623730951,3.2763820762349476,False,True
CSP,Glass,2,0.08367294148263267,1.4142135623730951,1.4142135623730951,16.90168335562378,False,True
CSP,Manganese,2,0.5616967327842207,1.4142135623730951,1.4142135623730951,2.5177528723785083,False,True
CSP,Nickel,2,0.3630418284106875,1.4142135623730951,1.4142135623730951,3.895456257930918,False,True
CSP,Silver,2,0.10410006740319978,1.4142135623730951,1.4142135623730951,13.585135895211012,False,True
CSP,Steel,2,0.25963549100012984,1.4142135623730951,1.4142135623730951,5.446919282589097,False,True
CdTe,Cadmium,40,0.8389457649908545,0.7699532819549778,0.8389457649908545,1.0,False,False
CdTe,Chromium,1,0.0,0.7699532819549778,0.7699532819549778,inf,False,True
CdTe,Copper,6,3.9953921123381044,0.7699532819549778,3.9953921123381044,1.0,False,False
CdTe,Indium,3,0.012011389193855722,0.7699532819549778,0.7699532819549778,64.10193438314678,False,True
CdTe,Lead,2,0.012659411149615166,0.7699532819549778,0.7699532819549778,60.820623712690114,False,True
CdTe,Molybdenum,3,23.87190789020941,0.7699532819549778,23.87190789020941,1.0,False,True
CdTe,Nickel,1,0.0,0.7699532819549778,0.7699532819549778,inf,False,True
CdTe,Tellurium,55,0.7699532819549778,0.7699532819549778,0.7699532819549778,1.0,True,False
CdTe,Tin,1,0.0,0.7699532819549778,0.7699532819549778,inf,False,True
Coal,Aluminum,4,0.36601813083138324,0.5502582764643633,0.5502582764643633,1.5033634405336482,False,True
Coal,Cement,12,0.5502582764643633,0.5502582764643633,0.5502582764643633,1.0,True,False
Coal,Copper,4,0.064345852515116,0.5502582764643633,0.5502582764643633,8.551573333107953,False,True
Coal,Manganese,3,0.2544258844923164,0.5502582764643633,0.5502582764643633,2.1627448699347296,False,True
Coal,Nickel,3,0.13405046533592127,0.5502582764643633,0.5502582764643633,4.104859129622966,False,True
Coal,Steel,3,0.1385044633409044,0.5502582764643633,0.5502582764643633,3.972855915191695,False,True
Coal CCS,Aluminum,4,0.36601813083138324,0.5756557435547358,0.5756557435547358,1.5727519897639393,False,True
Coal CCS,Cement,12,0.5756557435547358,0.5756557435547358,0.5756557435547358,1.0,True,False
Coal CCS,Copper,4,0.06395080465043305,0.5756557435547358,0.5756557435547358,9.001540273048583,False,True
Coal CCS,Manganese,3,0.2544258844923164,0.5756557435547358,0.5756557435547358,2.2625675241471765,False,True
Coal CCS,Nickel,3,0.13405046533592127,0.5756557435547358,0.5756557435547358,4.294321113411893,False,True
Coal CCS,Steel,4,0.1652245900343436,0.5756557435547358,0.5756557435547358,3.484080326270321,False,True
Gas,Aluminum,2,0.060033643086683526,0.2755415057134112,0.2755415057134112,4.589784853062348,False,True
Gas,Cement,4,0.2755415057134112,0.2755415057134112,0.2755415057134112,1.0,True,True
Gas,Copper,4,0.064345852515116,0.2755415057134112,0.2755415057134112,4.282195276668088,False,True
Gas,Manganese,3,0.2544258844923164,0.2755415057134112,0.2755415057134112,1.0829932114149041,False,True
Gas,Nickel,3,0.13405046533592127,0.2755415057134112,0.2755415057134112,2.0555057755519393,False,True
Gas,Steel,2,0.25365210852552045,0.2755415057134112,0.2755415057134112,1.086296925797833,False,True
Gas CCS,Aluminum,2,0.060033643086683526,0.41170370790481037,0.41170370790481037,6.857883125805723,False,True
Gas CCS,Cement,4,0.41170370790481037,0.41170370790481037,0.41170370790481037,1.0,True,True
Gas CCS,Copper,4,0.06395080465043305,0.41170370790481037,0.41170370790481037,6.437819041609548,False,True
Gas CCS,Manganese,3,0.2544258844923164,0.41170370790481037,0.41170370790481037,1.618167541114488,False,True
