technology,material,n,best_dist,best_aic,best_ks_pval
onshore wind,Copper,102,gamma,404.23192144375423,0.22308355615090425
CIGS,Indium,76,lognormal,-277.01209141668755,0.0006080145240000556
CdTe,Tellurium,55,gamma,-159.878330875831,0.46818658023248694
onshore wind,Neodymium,50,truncated_normal,-117.50817202314535,0.02835634563279199
offshore wind,Copper,49,gamma,241.344986487441,0.56550980832682
onshore wind,Steel,48,truncated_normal,452.52638916628734,0.549982726586929
onshore wind,Dysprosium,47,gamma,-358.24671701810826,7.74281006151323e-06
CIGS,Gallium,41,gamma,-291.209019796708,0.0031704523659209505
offshore wind,Neodymium,41,uniform,-135.707384536238,0.0005562333653100771
CdTe,Cadmium,40,gamma,-129.1883888105608,0.34303610967667575
onshore wind,Aluminum,38,gamma,122.91965331410424,9.418692795025615e-05
CIGS,Selenium,36,gamma,-133.41020418710838,0.7223610244118961
