scenario,year,material,mean,std,p2,p5,p25,p50,p75,p95,p97
Adv_CCS,2026,Aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Boron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Cadmium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Chromium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Dysprosium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Fiberglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Gadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Gallium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Indium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Lead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Magnesium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Manganese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Molybdenum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Neodymium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Niobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Praseodymium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Selenium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Silicon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Silver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Tellurium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Terbium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Tin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Vanadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Yttrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2026,Zinc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2029,Aluminum,1755686.1759390149,531394.8883069663,1183478.3057220841,1218957.1039614843,1391669.8891088676,1605067.4140258199,1959861.9770834174,2819097.086103053,3206186.1244526547
Adv_CCS,2029,Boron,152.67965999191082,49.759340519694796,114.2090333629387,115.31118112695114,121.32186198404769,133.29875353453463,163.88519932432462,257.0763528310269,287.79823796657007
Adv_CCS,2029,Cadmium,479.04068706158796,297.0726819263978,68.20977115145831,104.09575662009108,268.3710184166429,422.5229774753344,635.6909132759879,1021.4478054249645,1200.960626012139
Adv_CCS,2029,Cement,5438875.890228068,728774.189039697,4196615.858533015,4290190.913442621,4823435.029770959,5445476.2234076345,6036941.033214339,6572955.246397244,6682413.555711558
Adv_CCS,2029,Chromium,43293.03950926252,13799.425536678902,20711.228277463048,21789.5485933697,31374.93974471611,43604.60989236577,55343.200519253165,64506.06291833912,65798.95137951525
Adv_CCS,2029,Copper,435034.7167874829,217968.35772822867,177933.03601274872,197648.10350775224,285707.85792955285,382541.942001991,523112.4805257527,837099.213367448,996341.22384833
Adv_CCS,2029,Dysprosium,742.7104658193191,779.1083360850364,123.7098341624668,145.92848331232463,259.68824360436145,452.5392204091311,918.6724255894324,2322.853055621096,2950.0657629057478
Adv_CCS,2029,Fiberglass,663281.3972258115,46356.965727428505,585288.8133458525,591394.8583379029,623703.9349854001,663389.1750367606,702917.5329946742,734487.1077607705,740889.019753612
Adv_CCS,2029,Gadium,16.487456507550597,6.224786117118999,6.3390429790287035,6.817301352950576,11.122560503688327,16.37321958016601,21.91810540528124,26.22262912208914,26.76175876460283
Adv_CCS,2029,Gallium,25.111284467949087,30.338427552489346,1.535930491266454,2.477993150635383,7.7532798378727,15.369231950877316,30.66625534782858,78.90995442062692,103.50950529757151
Adv_CCS,2029,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2029,Glass,5734987.047732489,361257.43374449725,5125397.200270727,5175105.580592687,5428138.139477006,5729005.238139181,6041629.36028171,6292998.873024567,6339358.242408892
Adv_CCS,2029,Indium,160.20418422674484,46.35973674211253,106.3691892562051,108.89721581395484,126.29880130001784,148.80964520219038,181.04711203477152,253.24346932027137,279.22510092599487
Adv_CCS,2029,Lead,517099.2636626584,28342.10445825952,468097.93897440884,472375.5075734832,493380.90225361916,516875.7810229227,541791.4513550991,560572.0667417732,564870.9830950954
Adv_CCS,2029,Magnesium,4520.556256056939,232.80422376225445,4133.300031394778,4165.107907815787,4315.688539403258,4520.270827478508,4720.516676678542,4882.090120952257,4904.587586827001
Adv_CCS,2029,Manganese,58428.563228453364,420.2040709818239,57731.40984798163,57780.19521780026,58071.057281807196,58421.6277269178,58779.7972024597,59094.75542211782,59144.96400358379
Adv_CCS,2029,Molybdenum,7896.128713753045,930.3829462949461,6331.468084918136,6448.430743955815,7113.727720961291,7886.173369533586,8680.8445979132,9356.500174584844,9502.59815033408
Adv_CCS,2029,Neodymium,11991.950775438607,6295.0081334433335,1706.4195357436645,2207.691215775291,6559.353244780692,11973.630931901833,17411.845181634424,21950.554608407478,22420.726627429096
Adv_CCS,2029,Nickel,20980.921113174685,6764.295102074345,9663.180456060381,10302.189384247627,15201.580673626382,20987.71501767615,26880.9998328629,31461.661855838487,31965.449695288986
Adv_CCS,2029,Niobium,2944.179034401484,155.6926024645813,2686.739994072459,2700.190901873962,2810.0254101836713,2942.4701894452155,3077.338407267044,3190.904912339221,3206.2738610951606
Adv_CCS,2029,Praseodymium,909.6751524651162,832.9201854221199,278.48856995950337,283.6896153737561,366.1055197879646,604.616190395834,1136.7006862726919,2525.0464559676598,3231.710448966497
Adv_CCS,2029,Selenium,160.50681125453286,134.29014516780717,28.115934471572185,31.98741220644215,64.65534698442184,121.48097137520017,208.2097460872983,427.3857149038679,535.1526403395521
Adv_CCS,2029,Silicon,406940.91577015223,182360.8004445056,105563.30155223481,124975.99912175386,246680.73043007136,412551.41895544797,563540.136480207,685730.7020980256,708288.8823289516
Adv_CCS,2029,Silver,3722.121032216333,1735.5874025032635,820.8251661615092,1037.6066747826983,2253.1857780896285,3693.4537662674857,5193.43973011695,6437.852234957951,6660.456416007287
Adv_CCS,2029,Steel,16498465.87334301,2144851.904898474,12712689.132048804,13329972.644078119,15060337.09323089,16338004.526440427,17758340.344181463,20280718.76253848,21326056.159105208
Adv_CCS,2029,Tellurium,528.9637210306051,329.7325792012495,119.03535252463239,146.38304269664127,287.94316576698685,452.01285377607894,691.9703180763615,1132.6370909327686,1388.9177761033911
Adv_CCS,2029,Terbium,479.89926515067333,513.218231190222,62.545825291712994,65.92016549077736,128.23699283693026,295.5849609486262,646.1626522993325,1525.2776461885358,1915.2452768664998
Adv_CCS,2029,Tin,48836.34891346027,2506.3480188086437,44624.1022976506,44923.869153449785,46731.40065437078,48740.16789724736,50991.641007012455,52712.826594912105,53004.20483989944
