Technology,Material,n,Distribution,Mean,CV (observed),CV (fitted),CV (inflated),Inflation factor,Low-N (<5)
Bio CCS,Aluminum,1,single value,1300.0,0.0,0.0,0.0,5.0,Yes
Bio CCS,Steel,1,single value,79560.0,0.0,0.0,0.0,5.0,Yes
Biomass,Aluminum,1,single value,1300.0,0.0,0.0,0.0,5.0,Yes
Biomass,Steel,1,single value,52000.0,0.0,0.0,0.0,5.0,Yes
CIGS,Zinc,1,single value,121.0,0.0,0.0,0.0,5.0,Yes
CdTe,Chromium,1,single value,61.0,0.0,0.0,0.0,5.0,Yes
CdTe,Nickel,1,single value,16.0,0.0,0.0,0.0,5.0,Yes
CdTe,Tin,1,single value,6.6,0.0,0.0,0.0,5.0,Yes
Hydro,Aluminum,1,single value,52.0,0.0,0.0,0.0,5.0,Yes
Solar Distributed,Magnesium,1,single value,53.5,0.0,0.0,0.0,5.0,Yes
Solar Distributed,Tin,1,single value,577.0,0.0,0.0,0.0,5.0,Yes
a-Si,Cadmium,1,single value,6.6,0.0,0.0,0.0,5.0,Yes
a-Si,Chromium,1,single value,634.0,0.0,0.0,0.0,5.0,Yes
a-Si,Molybdenum,1,single value,10.6,0.0,0.0,0.0,5.0,Yes
a-Si,Nickel,1,single value,334.0,0.0,0.0,0.0,5.0,Yes
a-Si,Silicon,1,single value,150.0,0.0,0.0,0.0,5.0,Yes
a-Si,Tellurium,1,single value,7.8,0.0,0.0,0.0,5.0,Yes
offshore wind,Boron,1,single value,7.0,0.0,0.0,0.0,5.0,Yes
offshore wind,Molybdenum,1,single value,75.3,0.0,0.0,0.0,5.0,Yes
offshore wind,Niobium,1,single value,37.7,0.0,0.0,0.0,5.0,Yes
onshore wind,Niobium,1,single value,37.7,0.0,0.0,0.0,5.0,Yes
utility-scale solar pv,Magnesium,1,single value,53.5,0.0,0.0,0.0,5.0,Yes
utility-scale solar pv,Tin,1,single value,577.0,0.0,0.0,0.0,5.0,Yes
ASIGE,Steel,2,lognormal,55950.0,0.001,0.001,0.002,2.5,Yes
Bio CCS,Cement,2,lognormal,32005.0,0.306,0.222,0.556,2.5,Yes
Biomass,Cement,2,lognormal,20918.5,0.306,0.222,0.556,2.5,Yes
CDTE,Steel,2,lognormal,55950.0,0.001,0.001,0.002,2.5,Yes
CIGS,Molybdenum,2,lognormal,55.0,1.389,15.628,39.069,2.5,Yes
CIGS,Steel,2,lognormal,55950.0,0.001,0.001,0.002,2.5,Yes
CSP,Aluminum,2,normal,5500.0,1.414,1.414,3.536,2.5,Yes
CSP,Cement,2,lognormal,161000.0,0.782,0.688,1.72,2.5,Yes
CSP,Copper,2,lognormal,2300.0,0.553,0.432,1.079,2.5,Yes
CSP,Glass,2,lognormal,120000.0,0.118,0.084,0.209,2.5,Yes
