Technology,Material,n,Distribution,CV (observed),CV (fitted),cv_old,cv_new,cv_diff,cv_ratio,cv_source,blend_weight,cv_reference
Bio CCS,Aluminum,1,single value,0.0000,0.0000,0.0000,1.3830,1.3830,inf,mat:Aluminum,1.0000,1.3830
Bio CCS,Steel,1,single value,0.0000,0.0000,0.0000,0.4195,0.4195,inf,mat:Steel,1.0000,0.4195
Biomass,Aluminum,1,single value,0.0000,0.0000,0.0000,1.3830,1.3830,inf,mat:Aluminum,1.0000,1.3830
Biomass,Steel,1,single value,0.0000,0.0000,0.0000,0.4195,0.4195,inf,mat:Steel,1.0000,0.4195
CIGS,Zinc,1,single value,0.0000,0.0000,0.0000,1.9360,1.9360,inf,tech:CIGS,1.0000,1.9360
CdTe,Chromium,1,single value,0.0000,0.0000,0.0000,0.8045,0.8045,inf,tech:CdTe,1.0000,0.8045
CdTe,Nickel,1,single value,0.0000,0.0000,0.0000,0.8045,0.8045,inf,tech:CdTe,1.0000,0.8045
CdTe,Tin,1,single value,0.0000,0.0000,0.0000,0.8045,0.8045,inf,tech:CdTe,1.0000,0.8045
Hydro,Aluminum,1,single value,0.0000,0.0000,0.0000,1.3830,1.3830,inf,mat:Aluminum,1.0000,1.3830
Solar Distributed,Magnesium,1,single value,0.0000,0.0000,0.0000,1.8040,1.8040,inf,tech:Solar Distributed,1.0000,1.8040
Solar Distributed,Tin,1,single value,0.0000,0.0000,0.0000,1.8040,1.8040,inf,tech:Solar Distributed,1.0000,1.8040
a-Si,Cadmium,1,single value,0.0000,0.0000,0.0000,1.2050,1.2050,inf,tech:a-Si,1.0000,1.2050
a-Si,Chromium,1,single value,0.0000,0.0000,0.0000,1.2050,1.2050,inf,tech:a-Si,1.0000,1.2050
a-Si,Molybdenum,1,single value,0.0000,0.0000,0.0000,1.2050,1.2050,inf,tech:a-Si,1.0000,1.2050
a-Si,Nickel,1,single value,0.0000,0.0000,0.0000,1.2050,1.2050,inf,tech:a-Si,1.0000,1.2050
a-Si,Silicon,1,single value,0.0000,0.0000,0.0000,1.2050,1.2050,inf,tech:a-Si,1.0000,1.2050
a-Si,Tellurium,1,single value,0.0000,0.0000,0.0000,1.2050,1.2050,inf,tech:a-Si,1.0000,1.2050
offshore wind,Boron,1,single value,0.0000,0.0000,0.0000,0.6420,0.6420,inf,tech:offshore wind,1.0000,0.6420
offshore wind,Molybdenum,1,single value,0.0000,0.0000,0.0000,0.6420,0.6420,inf,tech:offshore wind,1.0000,0.6420
offshore wind,Niobium,1,single value,0.0000,0.0000,0.0000,0.6420,0.6420,inf,tech:offshore wind,1.0000,0.6420
onshore wind,Niobium,1,single value,0.0000,0.0000,0.0000,1.3490,1.3490,inf,tech:onshore wind,1.0000,1.3490
utility-scale solar pv,Magnesium,1,single value,0.0000,0.0000,0.0000,1.8040,1.8040,inf,tech:utility-scale solar pv,1.0000,1.8040
utility-scale solar pv,Tin,1,single value,0.0000,0.0000,0.0000,1.8040,1.8040,inf,tech:utility-scale solar pv,1.0000,1.8040
ASIGE,Steel,2,lognormal,0.0010,0.0010,0.0020,0.4195,0.4175,209.7500,mat:Steel,1.0000,0.4195
