Technology,Material,n,mu,sigma,cv_fitted,ks_stat,ks_pval,ad_stat,ad_crit,rmse,fit_quality,mean_obs,std_obs,cv_obs,median_obs,q25_obs,q75_obs,iqr_obs,n_bin
Bio CCS,Cement,2,10.349722838591683,0.21961777592984433,0.22229272829447222,0.3413447460685436,0.9332490989253863,0.25048240875018735,-0.242,0.26616510408828337,Poor,32005.0,9783.529424497072,0.3056875308388399,32005.0,28546.0,35464.0,6918.0,2
Bio CCS,Copper,3,6.388988588891721,0.069004198930751,0.06908642271798043,0.23274803132810123,0.9861490919326966,0.19688003727676096,-1.771,0.16708918402406872,Fair,596.6666666666666,50.083264004389065,0.08393843129227219,600.0,572.5,622.5,50.0,3
Bio CCS,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
Bio CCS,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
Biomass,Cement,2,9.924465843851962,0.21961217360209506,0.2222869198850252,0.34134474606854415,0.9332490989253855,0.2504824087501869,-0.242,0.26616510408828187,Poor,20918.5,6394.366622269949,0.3056799781184095,20918.5,18657.75,23179.25,4521.5,2
Biomass,Copper,4,6.193855487660435,0.06427939726335101,0.064345852515116,0.22797025600870058,0.9568303632430145,0.19200834360248642,1.799,0.14953530128274645,Good,490.75,36.782015532956684,0.07495061748946853,485.5,466.75,509.5,42.75,4-5
Biomass,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
Biomass,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
CIGS,Aluminum,3,9.878106610064698,0.33465013987660325,0.3442418866922407,0.4269166055731903,0.5205417628221893,0.4877667358939841,-1.771,0.2563860221696418,Poor,20693.333333333332,9185.642782806946,0.4438938200454388,15390.0,15390.0,23345.0,7955.0,3
CIGS,Cadmium,3,2.0348194516404017,2.5066301643984725,23.119185295751596,0.42691660557318994,0.52054176282219,0.4877667358939841,-1.771,0.2563860221696416,Poor,89.2,152.24726598530432,1.7068079146334565,1.3,1.3,133.15,131.85,3
CIGS,Cement,4,8.873176009815388,0.27618017672673517,0.28153127450166826,0.17512111109468254,0.9975766620462192,0.18612802279381757,1.799,0.13368148868867852,Good,7413.5,2352.7748865258372,0.31736357813796956,7147.5,6293.0,8268.0,1975.0,4-5
CIGS,Copper,13,5.467518427950396,2.252196884428058,12.591875856905338,0.22993096018165204,0.4331052415357187,0.7485357306033045,0.679,0.10163022265294264,Good,1805.1553846153847,3069.5515732014655,1.7004362058590758,250.0,22.0,450.0,428.0,11-20
CIGS,Gadium,3,1.8502104317206756,0.7082185462014667,0.8070424963359168,0.4051739064812034,0.5803300691048776,0.42956148979828335,-1.771,0.19842501081769232,Fair,7.78,4.737636541567958,0.6089507122837992,10.0,6.17,10.5,4.33,3
CIGS,Gallium,41,1.792812415337086,1.0930885908557038,1.5175763750955686,0.1849699727442775,0.10613635075148531,1.645728493108905,0.727,0.07785344017366945,Fair,12.506341463414634,26.05271020029371,2.0831599933927025,6.7,3.2,9.0,5.8,21-50
CIGS,Glass,3,11.049925592627831,0.11787999157862934,0.11829068557329676,0.3554199803620632,0.7180337041056274,0.32882547238891924,-1.771,0.1803102725308592,Fair,63366.666666666664,8787.680771018788,0.13867986487667736,66700.0,60050.0,68350.0,8300.0,3
CIGS,Indium,76,3.3117252541792284,1.3704920521925523,2.354152972229392,0.22761530111130102,0.0006080145240060508,7.406527803510528,0.751,0.1295524853055152,Poor,1188.8801315789474,7110.546786883363,5.980877800893074,23.0,15.0,30.25,15.25,>50
